seed,iter,eval_count,elapsed_s,current_sum_iqc,best_sum_iqc,delta_vs_baseline,delta_vs_best_prev,accepted,improved,perturbation_strength,no_improve_streak,local_search_accepted_moves,applied_perturbation_moves
1149,0,67,0.0,48.64620000000001,48.64620000000001,1.5885000000000105,0.0,True,False,2,0,25,0
1149,1,118,0.26061522006057203,49.17060000000001,49.17060000000001,2.1129000000000104,0.5244,True,True,2,0,25,2
1149,2,192,0.4240178221371025,49.8995,49.8995,2.8418000000000063,0.7288999999999959,True,True,2,0,25,2
1149,3,279,0.6161093730479479,50.7939,50.7939,3.7362000000000037,0.8943999999999974,True,True,2,0,25,2
1149,4,396,0.8745243740268052,51.4478,51.4478,4.390100000000004,0.6539000000000001,True,True,2,0,25,2
1149,5,493,1.0886403401382267,51.870099999999994,51.870099999999994,4.812399999999997,0.4222999999999928,True,True,2,0,25,2
1149,6,623,1.375606865156442,52.138099999999994,52.138099999999994,5.080399999999997,0.2680000000000007,True,True,2,0,25,2
1149,7,795,1.7553146660793573,52.9408,52.9408,5.883100000000006,0.8027000000000086,True,True,2,0,25,2
1149,8,1003,2.2142478260211647,53.3156,53.3156,6.2579000000000065,0.37480000000000047,True,True,2,0,25,2
1149,9,1301,2.871339929057285,53.6519,53.6519,6.594200000000001,0.33629999999999427,True,True,2,0,25,2
1149,10,1542,3.402849336154759,54.1188,54.1188,7.061100000000003,0.46690000000000254,True,True,2,0,25,2
1149,11,1836,4.051431459141895,54.9443,54.9443,7.886600000000001,0.8254999999999981,True,True,2,0,25,2
1149,12,2304,5.083176960004494,55.34980000000001,55.34980000000001,8.292100000000012,0.40550000000001063,True,True,2,0,21,2
1149,13,2421,5.341279090149328,55.34980000000001,55.34980000000001,8.292100000000012,0.0,False,False,2,1,1,2
1149,14,2836,6.2565404670313,55.5439,55.5439,8.486200000000004,0.19409999999999172,True,True,2,0,18,2
1149,15,2901,6.400004419032484,55.5439,55.5439,8.486200000000004,0.0,False,False,2,1,0,2
1149,16,3065,6.76166803506203,55.5439,55.5439,8.486200000000004,0.0,False,False,2,2,7,2
1149,17,3270,7.21385761606507,55.5439,55.5439,8.486200000000004,0.0,False,False,2,3,6,2
1149,18,3600,7.941548409173265,55.8397,55.8397,8.782000000000004,0.29579999999999984,True,True,2,0,13,2
1149,19,3719,8.20391769404523,55.8397,55.8397,8.782000000000004,0.0,False,False,2,1,1,2
1149,20,3881,8.561091104988009,55.8397,55.8397,8.782000000000004,0.0,False,False,2,2,4,2
1149,21,3991,8.80356970615685,55.8397,55.8397,8.782000000000004,0.0,False,False,2,3,4,2
1149,22,4112,9.070443171076477,55.8397,55.8397,8.782000000000004,0.0,False,False,2,4,1,2
1149,23,4180,9.220350593095645,55.8397,55.8397,8.782000000000004,0.0,False,False,2,5,1,2
1149,24,4407,9.721018768148497,55.8397,55.8397,8.782000000000004,0.0,False,False,2,6,4,2
1149,25,4661,10.28093465603888,55.8397,55.8397,8.782000000000004,0.0,False,False,2,7,6,2
1149,26,4863,10.726427200017497,55.8397,55.8397,8.782000000000004,0.0,False,False,2,8,4,2
1149,27,4993,11.012983170105144,55.8397,55.8397,8.782000000000004,0.0,False,False,2,9,3,2
1149,28,5472,12.06932022003457,55.9003,55.9003,8.842600000000004,0.060600000000000875,True,True,2,0,16,2
1149,29,5609,12.371551109012216,55.9003,55.9003,8.842600000000004,0.0,False,False,2,1,3,2
1149,30,5795,12.781939627137035,55.9003,55.9003,8.842600000000004,0.0,False,False,2,2,4,2
1149,31,5871,12.949647055007517,55.9003,55.9003,8.842600000000004,0.0,False,False,2,3,2,2
1149,32,5976,13.181356693152338,55.9003,55.9003,8.842600000000004,0.0,False,False,2,4,2,2
1149,33,6109,13.474851814098656,55.9003,55.9003,8.842600000000004,0.0,False,False,2,5,2,2
1149,34,6466,14.26223843311891,55.9769,55.9769,8.919200000000004,0.07659999999999911,True,True,2,0,9,2
1149,35,6567,14.484863528981805,55.9769,55.9769,8.919200000000004,0.0,False,False,2,1,3,2
1149,36,6711,14.802495536161587,55.9769,55.9769,8.919200000000004,0.0,False,False,2,2,6,2
1149,37,6878,15.170730976155028,55.9769,55.9769,8.919200000000004,0.0,False,False,2,3,6,2
1149,38,7036,15.519328688038513,55.9769,55.9769,8.919200000000004,0.0,False,False,2,4,5,2
1149,39,7105,15.671635718084872,55.9769,55.9769,8.919200000000004,0.0,False,False,2,5,1,2
1149,40,7336,16.181153549114242,55.9769,55.9769,8.919200000000004,0.0,False,False,2,6,6,2
1149,41,7438,16.40606926404871,55.9769,55.9769,8.919200000000004,0.0,False,False,2,7,4,2
1149,42,7705,16.99493562616408,56.128299999999996,56.128299999999996,9.070599999999999,0.15139999999999532,True,True,2,0,10,2
1149,43,7953,17.541961257113144,56.128299999999996,56.128299999999996,9.070599999999999,0.0,False,False,2,1,5,2
1149,44,8113,17.894953201059252,56.128299999999996,56.128299999999996,9.070599999999999,0.0,False,False,2,2,2,2
1149,45,8369,18.45980720501393,56.128299999999996,56.128299999999996,9.070599999999999,0.0,False,False,2,3,6,2
1149,46,8434,18.603267785161734,56.128299999999996,56.128299999999996,9.070599999999999,0.0,False,False,2,4,0,2
1149,47,8503,18.755629325052723,56.128299999999996,56.128299999999996,9.070599999999999,0.0,False,False,2,5,1,2
1149,48,8666,19.115189085016027,56.128299999999996,56.128299999999996,9.070599999999999,0.0,False,False,2,6,3,2
1149,49,8765,19.33368177898228,56.128299999999996,56.128299999999996,9.070599999999999,0.0,False,False,2,7,1,2
1149,50,8830,19.477278026053682,56.128299999999996,56.128299999999996,9.070599999999999,0.0,False,False,2,8,0,2
1149,51,9028,19.914145117159933,56.128299999999996,56.128299999999996,9.070599999999999,0.0,False,False,2,9,9,2
1149,52,9218,20.332947600167245,56.128299999999996,56.128299999999996,9.070599999999999,0.0,False,False,2,10,3,2
1149,53,9401,20.736750653013587,56.128299999999996,56.128299999999996,9.070599999999999,0.0,False,False,2,11,6,2
1149,54,9466,20.880196311045438,56.128299999999996,56.128299999999996,9.070599999999999,0.0,False,False,2,12,0,2
1149,55,9650,21.28637416101992,56.128299999999996,56.128299999999996,9.070599999999999,0.0,False,False,2,13,5,2
1149,56,9824,21.67026769113727,56.128299999999996,56.128299999999996,9.070599999999999,0.0,False,False,2,14,4,2
1149,57,9899,21.835664715152234,56.128299999999996,56.128299999999996,9.070599999999999,0.0,False,False,2,15,1,2
1149,58,10201,22.50178309995681,56.1819,56.1819,9.124200000000002,0.05360000000000298,True,True,2,0,12,2
1149,59,10525,23.21636595018208,56.2267,56.2267,9.169000000000004,0.04480000000000217,True,True,2,0,7,2
1149,60,11018,24.303172655170783,56.4785,56.4785,9.4208,0.2517999999999958,True,True,2,0,13,2
1149,61,11140,24.572218821151182,56.4785,56.4785,9.4208,0.0,False,False,2,1,2,2
1149,62,11265,24.847945056157187,56.4785,56.4785,9.4208,0.0,False,False,2,2,1,2
1149,63,11482,25.326171338092536,56.4785,56.4785,9.4208,0.0,False,False,2,3,5,2
1149,64,11652,25.701194301014766,56.4785,56.4785,9.4208,0.0,False,False,2,4,6,2
1149,65,11815,26.060393671970814,56.4785,56.4785,9.4208,0.0,False,False,2,5,3,2
1149,66,11898,26.24350491911173,56.4785,56.4785,9.4208,0.0,False,False,2,6,2,2
1149,67,11963,26.38678280217573,56.4785,56.4785,9.4208,0.0,False,False,2,7,0,2
1149,68,12028,26.529971710173413,56.4785,56.4785,9.4208,0.0,False,False,2,8,0,2
1149,69,12151,26.801015430130064,56.4785,56.4785,9.4208,0.0,False,False,2,9,2,2
1149,70,12283,27.092182224150747,56.4785,56.4785,9.4208,0.0,False,False,2,10,4,2
1149,71,12356,27.2532216750551,56.4785,56.4785,9.4208,0.0,False,False,2,11,1,2
1149,72,12751,28.124467248097062,56.52109999999999,56.52109999999999,9.463399999999993,0.04259999999999309,True,True,2,0,11,2
1149,73,12919,28.495229829102755,56.52109999999999,56.52109999999999,9.463399999999993,0.0,False,False,2,1,6,2
1149,74,13116,28.932031863136217,56.52109999999999,56.52109999999999,9.463399999999993,0.0,False,False,2,2,4,2
1149,75,13285,29.304695934057236,56.52109999999999,56.52109999999999,9.463399999999993,0.0,False,False,2,3,4,2
1149,76,13626,30.056881695985794,56.644800000000004,56.644800000000004,9.587100000000007,0.12370000000001369,True,True,2,0,14,2
1149,77,13799,30.438412390183657,56.644800000000004,56.644800000000004,9.587100000000007,0.0,False,False,2,1,4,2
