seed,initial_objective_value,best_objective_value,delta_abs_vs_baseline,delta_pct_vs_baseline,iterations,evaluations,runtime_seconds,accepted_iterations,improvement_iterations,stopping_reason,final_perturbation_strength,seed_dir
6415,39.455600000000004,47.5402,8.861000000000004,22.908953649506724,188,30009,40.19536059605889,34,34,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_006415
9861,40.0206,48.0257,9.346500000000006,24.164150240956396,193,30196,40.45096229505725,30,30,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_009861
733,40.2024,47.942499999999995,9.263300000000001,23.949047550104456,199,30135,40.373361004982144,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_000733
9836,40.62950000000001,47.9379,9.258700000000005,23.937154853254476,196,30060,40.24042478413321,23,23,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_009836
2885,40.1872,48.0736,9.394400000000005,24.287989410329082,192,30263,40.522074763895944,29,29,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_002885
8469,39.9064,48.2775,9.598300000000009,24.815146125049147,174,26013,34.85550561291166,30,30,max_no_improve,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_008469
6466,40.1511,47.7796,9.100400000000008,23.52789095948212,204,30026,40.20789024489932,25,25,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_006466
417,39.4908,48.2502,9.571000000000005,24.74456555461335,188,30036,40.20392469596118,32,32,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_000417
446,40.3503,47.802699999999994,9.1235,23.58761298062008,199,30084,40.31500339298509,23,23,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_000446
9895,39.9826,48.1743,9.495100000000008,24.548336056588578,183,30107,40.36455449205823,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_009895
2937,40.1201,47.802,9.122800000000005,23.58580322240379,198,29151,39.07789759617299,26,26,max_no_improve,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_002937
3462,39.959399999999995,48.492599999999996,9.813400000000001,25.371258971230024,181,30000,40.207790799904615,36,36,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_003462
5173,40.0399,47.8026,9.123400000000004,23.587354443732046,180,30036,40.24624495394528,22,22,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_005173
3589,39.9157,47.7169,9.037700000000008,23.365788330679045,198,30110,40.41482748393901,33,33,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_003589
1858,39.9506,48.2278,9.548600000000008,24.686653291691684,195,30102,40.319622738985345,30,30,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_001858
7558,40.0275,48.0141,9.334900000000005,24.134159961943386,199,30277,40.54331009904854,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_007558
9580,40.3083,48.2988,9.619600000000005,24.870214482202336,198,30063,40.29041776084341,34,34,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_009580
2767,39.7372,47.9039,9.224700000000006,23.8492523113198,178,29134,39.10717415995896,33,33,max_no_improve,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_002767
4332,40.1638,47.712,9.032800000000009,23.35312002316493,188,30193,40.53769828309305,32,32,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_004332
4432,40.1123,48.0186,9.339400000000005,24.14579412190533,186,30130,40.45061279297806,25,25,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_004432
4878,39.8259,48.0628,9.383600000000008,24.260067426420427,196,30005,40.22600549389608,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_004878
2141,39.7426,48.0279,9.348700000000008,24.169838052493354,187,30057,40.31774704903364,32,32,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_002141
596,40.17320000000001,47.9634,9.284200000000006,24.00308175970549,183,30080,40.34587446204387,30,30,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_000596
9723,39.941199999999995,48.2851,9.605900000000005,24.834794928540422,179,30098,40.38683625403792,27,27,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_009723
8551,40.287099999999995,48.314800000000005,9.63560000000001,24.911580384289262,182,30163,40.4807694631163,38,38,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_008551
