walking profile, minimum value, maximum value, mean, standard deviation, mean time (s)
average_adult,54.7712,55.8946,55.295865,0.19653072722204076,49.03039286439001
elderly,45.4663,46.4678,45.907551,0.18255276779411686,35.44325343094007
athlete,60.6772,61.6319,61.155511,0.20216281112264506,64.83889971793002
