seed,iter,eval_count,elapsed_s,current_sum_iqc,best_sum_iqc,delta_vs_baseline,delta_vs_best_prev,accepted,improved,perturbation_strength,no_improve_streak,local_search_accepted_moves,applied_perturbation_moves,t_initial_eval_s,t_initial_local_search_s,t_perturb_s,t_candidate_eval_s,t_local_search_s,t_acceptance_s,t_bookkeeping_s,t_logging_s,t_iter_total_s
7735,0,53,0.0,50.5163,50.5163,0.9673999999999978,0.0,True,False,2,0,25,0,0.0011121530551463366,0.061730979941785336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7735,1,133,0.15667437389492989,50.6031,50.6031,1.0541999999999945,0.08679999999999666,True,True,2,0,25,4,0.0,0.0,0.0002657992299646139,0.0010991659946739674,0.09207143587991595,7.64802098274231e-06,1.226598396897316e-05,6.442400626838207e-05,0.09353614505380392
7735,2,234,0.2741808909922838,50.6434,50.6434,1.0944999999999965,0.040300000000002,True,True,2,0,25,4,0.0,0.0,0.00025761802680790424,0.0010772780515253544,0.1160671329125762,7.349066436290741e-06,1.1004973202943802e-05,6.0264952480793e-05,0.11749864905141294
7735,3,309,0.361733993049711,50.695100000000004,50.695100000000004,1.1462000000000003,0.051700000000003854,True,True,2,0,25,4,0.0,0.0,0.00025467691011726856,0.0010198189411312342,0.08618427603505552,5.9211160987615585e-06,1.0940013453364372e-05,5.4039061069488525e-05,0.0875451359897852
7735,4,400,0.4676632019691169,50.740300000000005,50.740300000000005,1.1914000000000016,0.04520000000000124,True,True,2,0,25,4,0.0,0.0,0.00025932304561138153,0.0010191609617322683,0.1045578729826957,7.628928869962692e-06,1.0992167517542839e-05,6.17119949311018e-05,0.10593467904254794
7735,5,529,0.6655761189758778,50.812799999999996,50.812799999999996,1.2638999999999925,0.0724999999999909,True,True,2,0,25,4,0.0,0.0,0.0002587810158729553,0.0010995380580425262,0.19645566795952618,7.259892299771309e-06,9.490875527262688e-06,4.964414983987808e-05,0.19789772317744792
7735,6,707,0.9534298139624298,50.9106,50.9106,1.361699999999999,0.09780000000000655,True,True,2,0,25,4,0.0,0.0,0.00042815878987312317,0.0016385859344154596,0.28569902502931654,8.041039109230042e-06,1.1350959539413452e-05,6.399094127118587e-05,0.2878680480644107
7735,7,878,1.197713964851573,50.94839999999999,50.94839999999999,1.399499999999989,0.037799999999990064,True,True,2,0,25,4,0.0,0.0,0.00028432602994143963,0.0011062920093536377,0.2427897851448506,8.75210389494896e-06,9.706011041998863e-06,5.100504495203495e-05,0.24426842597313225
7735,8,1076,1.5193328838795424,51.009499999999996,51.009499999999996,1.4605999999999923,0.06110000000000326,True,True,2,0,25,4,0.0,0.0,0.00042670988477766514,0.0016390059608966112,0.3194605899043381,1.075398176908493e-05,1.3925135135650635e-05,6.858096458017826e-05,0.32163950498215854
7735,9,1355,1.952793028904125,51.05,51.05,1.5010999999999939,0.040500000000001535,True,True,2,0,25,4,0.0,0.0,0.0003746140282601118,0.0014652230311185122,0.43150534201413393,8.047092705965042e-06,1.2675998732447624e-05,6.454996764659882e-05,0.4334519209805876
7735,10,1613,2.3080621999688447,51.063300000000005,51.063300000000005,1.514400000000002,0.013300000000008083,True,True,2,0,25,4,0.0,0.0,0.0002929749898612499,0.0012813149951398373,0.3535886169411242,8.777016773819923e-06,1.2513948604464531e-05,6.748316809535027e-05,0.35527078597806394
7735,11,1774,2.5311239948496222,51.0689,51.0689,1.519999999999996,0.005599999999994054,True,True,2,0,5,4,0.0,0.0,0.0003023231402039528,0.0012849399354308844,0.22136508580297232,8.26898030936718e-06,1.3218959793448448e-05,8.459202945232391e-05,0.22307788697071373
7735,12,2127,3.016834076028317,51.10449999999999,51.10449999999999,1.555599999999984,0.035599999999988086,True,True,2,0,25,4,0.0,0.0,0.0002883689012378454,0.0013356150593608618,0.4839580350089818,8.721835911273956e-06,1.2453878298401833e-05,6.690807640552521e-05,0.4856895520351827
7735,13,2534,3.5769773540087044,51.13940000000001,51.13940000000001,1.5905000000000058,0.03490000000002169,True,True,2,0,25,4,0.0,0.0,0.00029035797342658043,0.0012992641422897577,0.5584444620180875,8.813105523586273e-06,1.3313954696059227e-05,6.467103958129883e-05,0.5601407140493393
7735,14,2599,3.6665402848739177,51.13940000000001,51.13940000000001,1.5905000000000058,0.0,False,False,2,1,0,4,0.0,0.0,0.00028556003235280514,0.001280797878280282,0.08789379405789077,3.9960723370313644e-06,1.2153992429375648e-05,0.0,0.08949547703377903
7735,15,2870,4.0403875089250505,51.1579,51.1579,1.6089999999999947,0.01849999999998886,True,True,2,0,25,4,0.0,0.0,0.00028356187976896763,0.0013100539799779654,0.3722129059024155,7.482944056391716e-06,1.2610107660293579e-05,6.20910432189703e-05,0.37390748504549265
7735,16,3230,4.536737474845722,51.163399999999996,51.163399999999996,1.6144999999999925,0.00549999999999784,True,True,2,0,25,4,0.0,0.0,0.00028859893791377544,0.0012903150636702776,0.49466628883965313,8.636154234409332e-06,1.3001030310988426e-05,6.553716957569122e-05,0.4963521098252386
7735,17,3523,4.938965687062591,51.1747,51.1747,1.6257999999999981,0.011300000000005639,True,True,2,0,19,4,0.0,0.0,0.00028589507564902306,0.0012834309600293636,0.40055041294544935,8.5500068962574e-06,1.1464813724160194e-05,6.275204941630363e-05,0.40222208108752966
7735,18,3700,5.182804309995845,51.1747,51.1747,1.6257999999999981,0.0,False,False,2,1,11,4,0.0,0.0,0.0002837779466062784,0.00129805994220078,0.2421582171227783,3.898981958627701e-06,1.2857839465141296e-05,0.0,0.2437753768172115
7735,19,4164,5.820946492953226,51.196200000000005,51.196200000000005,1.6473000000000013,0.021500000000003183,True,True,2,0,25,4,0.0,0.0,0.0002835949417203665,0.0013128139544278383,0.6365032959729433,8.331844583153725e-06,1.2628966942429543e-05,6.558001041412354e-05,0.6382058549206704
7735,20,4424,6.1794399549253285,51.196200000000005,51.196200000000005,1.6473000000000013,0.0,False,False,2,1,11,4,0.0,0.0,0.0002882210537791252,0.001283641904592514,0.35681853210553527,3.969995304942131e-06,1.3276003301143646e-05,6.462098099291325e-05,0.3584916510153562
7735,21,4792,6.6849786578677595,51.2017,51.2017,1.6527999999999992,0.00549999999999784,True,True,2,0,16,4,0.0,0.0,0.00028549390845000744,0.0013027999084442854,0.503842072095722,7.451977580785751e-06,1.2600095942616463e-05,6.696186028420925e-05,0.5055376959498972
7735,22,5131,7.151229152921587,51.21730000000001,51.21730000000001,1.6684000000000054,0.015600000000006276,True,True,2,0,25,4,0.0,0.0,0.00028631393797695637,0.0012813229113817215,0.4645748829934746,8.120900020003319e-06,1.240614801645279e-05,6.525078788399696e-05,0.46624714811332524
7735,23,5400,7.5203354470431805,51.21730000000001,51.21730000000001,1.6684000000000054,0.0,False,False,2,1,13,4,0.0,0.0,0.0002851190511137247,0.0012939739972352982,0.36742403893731534,4.197005182504654e-06,1.261802390217781e-05,0.0,0.36903952807188034
7735,24,5730,7.973354618065059,51.2262,51.2262,1.6772999999999954,0.008899999999989916,True,True,2,0,16,4,0.0,0.0,0.0002813159953802824,0.0012920689769089222,0.45140504906885326,7.252907380461693e-06,1.3212906196713448e-05,6.468291394412518e-05,0.4530831391457468
7735,25,5976,8.31129989400506,51.2262,51.2262,1.6772999999999954,0.0,False,False,2,1,10,4,0.0,0.0,0.00028731091879308224,0.0013038679026067257,0.3362510751467198,3.805849701166153e-06,1.265713945031166e-05,0.0,0.33787778904661536
7735,26,6049,8.411796852946281,51.2262,51.2262,1.6772999999999954,0.0,False,False,2,2,1,4,0.0,0.0,0.0002811909653246403,0.0013161408714950085,0.09886215510778129,3.851018846035004e-06,1.0689953342080116e-05,0.0,0.10049249697476625
7735,27,6117,8.50543936691247,51.2262,51.2262,1.6772999999999954,0.0,False,False,2,3,2,4,0.0,0.0,0.0002810398582369089,0.001319528091698885,0.09200741513632238,3.5490375012159348e-06,1.191999763250351e-05,0.0,0.09364260407164693
7735,28,6494,9.023034329991788,51.2262,51.2262,1.6772999999999954,0.0,False,False,2,4,21,4,0.0,0.0,0.00028132996521890163,0.001293838955461979,0.5159826150629669,3.961846232414246e-06,1.2257136404514313e-05,0.0,0.5175936780869961
7735,29,6589,9.153726991964504,51.2262,51.2262,1.6772999999999954,0.0,False,False,2,5,3,4,0.0,0.0,0.0002808540593832731,0.0013055140152573586,0.1290677129290998,4.739966243505478e-06,1.3103941455483437e-05,0.0,0.13069228897802532
7735,30,6990,9.73693598085083,51.2391,51.2391,1.6901999999999973,0.01290000000000191,True,True,2,0,25,4,0.0,0.0,0.00027936697006225586,0.001294333953410387,0.5815932040568441,7.1229878813028336e-06,1.2007076293230057e-05,6.738281808793545e-05,0.5832728589884937
7735,31,7325,10.197584668872878,51.2521,51.2521,1.7031999999999954,0.012999999999998124,True,True,2,0,18,4,0.0,0.0,0.00028364406898617744,0.0012853769585490227,0.45897288294509053,7.121125236153603e-06,1.337192952632904e-05,6.405217573046684e-05,0.46064579184167087
7735,32,7397,10.296314514940605,51.2521,51.2521,1.7031999999999954,0.0,False,False,2,1,1,4,0.0,0.0,0.0002855658531188965,0.0012889248318970203,0.0970537131652236,3.5981647670269012e-06,1.1598225682973862e-05,0.0,0.09866212704218924
7735,33,7600,10.574730074033141,51.2521,51.2521,1.7031999999999954,0.0,False,False,2,2,8,4,0.0,0.0,0.00027922610752284527,0.0012904619798064232,0.2768105659633875,3.647059202194214e-06,1.2757955119013786e-05,0.0,0.2784145139157772
7735,34,7895,10.979396654991433,51.2611,51.2611,1.7121999999999957,0.009000000000000341,True,True,2,0,14,4,0.0,0.0,0.0002790689468383789,0.0013069468550384045,0.4030389019753784,8.271075785160065e-06,1.216796226799488e-05,5.841604433953762e-05,0.404722617007792
7735,35,7985,11.117752759950235,51.2611,51.2611,1.7121999999999957,0.0,False,False,2,1,3,4,0.0,0.0,0.00028185686096549034,0.0012615581508725882,0.13671922706998885,3.451947122812271e-06,8.832896128296852e-06,0.0,0.13829199806787074
7735,36,8191,11.466513857943937,51.2611,51.2611,1.7121999999999957,0.0,False,False,2,2,9,4,0.0,0.0,0.00041889003477990627,0.001594871049746871,0.346716440981254,3.3159740269184113e-06,9.553041309118271e-06,0.0,0.34876008005812764
7735,37,8531,12.043675397988409,51.2611,51.2611,1.7121999999999957,0.0,False,False,2,3,17,4,0.0,0.0,0.00041975313797593117,0.0016113580204546452,0.5750977951101959,3.6389101296663284e-06,9.865965694189072e-06,0.0,0.5771607989445329
7735,38,8817,12.442690382013097,51.2611,51.2611,1.7121999999999957,0.0,False,False,2,4,9,4,0.0,0.0,0.00042229192331433296,0.0016274959780275822,0.39692987292073667,4.049856215715408e-06,1.0004965588450432e-05,0.0,0.3990127299912274
7735,39,9087,12.86100740893744,51.2611,51.2611,1.7121999999999957,0.0,False,False,2,5,12,4,0.0,0.0,0.00041902298107743263,0.0016366560012102127,0.4162282550241798,3.908993676304817e-06,1.172511838376522e-05,0.0,0.41831713588908315
7735,40,9326,13.220942064886913,51.2611,51.2611,1.7121999999999957,0.0,False,False,2,6,11,4,0.0,0.0,0.0002546170726418495,0.0010853498242795467,0.35854249889962375,4.439149051904678e-06,1.1812197044491768e-05,5.987193435430527e-05,0.3599926340393722
7735,41,9561,13.498984904028475,51.2611,51.2611,1.7121999999999957,0.0,False,False,2,7,6,4,0.0,0.0,0.00024724705144762993,0.001058113994076848,0.2766416328959167,3.885012120008469e-06,1.013907603919506e-05,0.0,0.2779802910517901
7735,42,9850,13.906479184981436,51.2611,51.2611,1.7121999999999957,0.0,False,False,2,8,17,4,0.0,0.0,0.00024656602181494236,0.001087113982066512,0.4061256479471922,4.251953214406967e-06,1.1492054909467697e-05,0.0,0.40749265695922077
7735,43,10003,14.106574762845412,51.2611,51.2611,1.7121999999999957,0.0,False,False,2,9,5,4,0.0,0.0,0.0002491928171366453,0.0010483518708497286,0.19876295397989452,3.7599820643663406e-06,1.0204967111349106e-05,0.0,0.20009263418614864
7735,44,10153,14.292642286978662,51.2611,51.2611,1.7121999999999957,0.0,False,False,2,10,6,4,0.0,0.0,0.0004175938665866852,0.0016172609757632017,0.18398252199403942,1.2204982340335846e-05,2.3789936676621437e-05,0.0,0.18608205509372056
7735,45,10300,14.517009158851579,51.2611,51.2611,1.7121999999999957,0.0,False,False,3,11,6,6,0.0,0.0,0.0003522699698805809,0.0010630381293594837,0.22289519081823528,4.468951374292374e-06,1.2791948392987251e-05,0.0,0.22434630780480802
7735,46,10475,14.786006635986269,51.2611,51.2611,1.7121999999999957,0.0,False,False,3,12,8,6,0.0,0.0,0.00047437590546905994,0.001357526984065771,0.2671261359937489,3.7990976125001907e-06,1.0768184438347816e-05,0.0,0.26899346499703825
7735,47,10654,15.017427529906854,51.2611,51.2611,1.7121999999999957,0.0,False,False,3,13,5,6,0.0,0.0,0.000346949091181159,0.0010684318840503693,0.22996991500258446,4.227040335536003e-06,1.0807067155838013e-05,0.0,0.23141904710792005
7735,48,10818,15.227237226907164,51.2611,51.2611,1.7121999999999957,0.0,False,False,3,14,5,6,0.0,0.0,0.0003467870410531759,0.0010893160942941904,0.20833777100779116,4.397006705403328e-06,1.3140961527824402e-05,0.0,0.20981089305132627
7735,49,11227,15.828762941993773,51.2611,51.2611,1.7121999999999957,0.0,False,False,3,15,15,6,0.0,0.0,0.0004889531992375851,0.0014030560851097107,0.5995919278357178,4.6370550990104675e-06,1.339893788099289e-05,0.0,0.6015243099536747
7735,50,11414,16.139624702045694,51.2611,51.2611,1.7121999999999957,0.0,False,False,3,16,7,6,0.0,0.0,0.0005901770200580359,0.0016478500328958035,0.30858430988155305,3.885012120008469e-06,1.0072020813822746e-05,8.27230978757143e-05,0.3109380279202014
7735,51,11771,16.57946633384563,51.2627,51.2627,1.713799999999999,0.0016000000000033765,True,True,3,0,14,6,0.0,0.0,0.0005878859665244818,0.0016426739748567343,0.4374885191209614,9.00006853044033e-06,1.1153984814882278e-05,6.772996857762337e-05,0.43982599792070687
7735,52,11954,16.870128175942227,51.2627,51.2627,1.713799999999999,0.0,False,False,2,1,7,4,0.0,0.0,0.0002680958714336157,0.0010268951300531626,0.28926471597515047,3.6740675568580627e-06,1.6356119886040688e-05,0.0,0.29059749096632004
7735,53,12342,17.378922605887055,51.2627,51.2627,1.713799999999999,0.0,False,False,2,2,20,4,0.0,0.0,0.00041754497215151787,0.0016068269032984972,0.5067308470606804,3.896886482834816e-06,1.1490890756249428e-05,0.0,0.5087879090569913
7735,54,12485,17.57079432485625,51.2627,51.2627,1.713799999999999,0.0,False,False,2,3,2,4,0.0,0.0,0.00024870201013982296,0.0010362230241298676,0.19055195106193423,3.637978807091713e-06,1.2494856491684914e-05,0.0,0.19187163305468857
7735,55,12971,18.22101531084627,51.2718,51.2718,1.7228999999999957,0.009099999999996555,True,True,2,0,21,4,0.0,0.0,0.0002473520580679178,0.0010245249141007662,0.6489077461883426,8.230796083807945e-06,1.286109909415245e-05,6.738398224115372e-05,0.6502865660004318
