seed,iter,eval_count,elapsed_s,current_sum_iqc,best_sum_iqc,delta_vs_baseline,delta_vs_best_prev,accepted,improved,perturbation_strength,no_improve_streak,local_search_accepted_moves,applied_perturbation_moves,t_initial_eval_s,t_initial_local_search_s,t_perturb_s,t_candidate_eval_s,t_local_search_s,t_acceptance_s,t_bookkeeping_s,t_logging_s,t_iter_total_s
7619,0,70,0.0,27.9347,27.9347,5.182099999999998,0.0,True,False,2,0,25,0,0.0011432068422436714,0.08408015291206539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7619,1,140,0.17098693293519318,29.995800000000003,29.995800000000003,7.243200000000002,2.0611000000000033,True,True,2,0,25,4,0.0,0.0,0.00040525803342461586,0.001085059018805623,0.08389740693382919,6.539979949593544e-06,9.333016350865364e-06,4.610489122569561e-05,0.08546522096730769
7619,2,221,0.2698381950613111,30.521100000000004,30.521100000000004,7.768500000000003,0.5253000000000014,True,True,2,0,25,4,0.0,0.0,0.0004045930691063404,0.0011013939511030912,0.0972651420161128,6.7979563027620316e-06,8.834060281515121e-06,4.371302202343941e-05,0.098846728913486
7619,3,296,0.3613801980391145,30.7671,30.7671,8.014499999999998,0.2459999999999951,True,True,2,0,25,4,0.0,0.0,0.0004059029743075371,0.0010868520475924015,0.0899718957953155,6.661051884293556e-06,9.044073522090912e-06,4.4008949771523476e-05,0.0915404160041362
7619,4,425,0.51848841807805,31.214600000000004,31.214600000000004,8.462000000000003,0.4475000000000051,True,True,2,0,25,4,0.0,0.0,0.0004070168361067772,0.0010872450657188892,0.15553544112481177,7.739989086985588e-06,9.211013093590736e-06,4.700198769569397e-05,0.15711002307944
7619,5,613,0.7473978949710727,31.721499999999995,31.721499999999995,8.968899999999994,0.506899999999991,True,True,2,0,25,4,0.0,0.0,0.0004051260184496641,0.0010839030146598816,0.22733787493780255,7.430091500282288e-06,9.76421870291233e-06,5.161203444004059e-05,0.2289126981049776
7619,6,774,0.9434583890251815,31.8545,31.8545,9.1019,0.13300000000000622,True,True,2,0,25,4,0.0,0.0,0.00040599703788757324,0.0010975999757647514,0.19447055598720908,6.041023880243301e-06,8.975854143500328e-06,4.352116957306862e-05,0.1960497919935733
7619,7,968,1.1797579219564795,31.8545,31.8545,9.1019,0.0,False,False,2,1,25,4,0.0,0.0,0.0004061001818627119,0.001095660962164402,0.23472393699921668,3.089895471930504e-06,9.607989341020584e-06,0.0,0.2362550380639732
7619,8,1146,1.3964921550359577,32.0034,32.0034,9.250799999999998,0.1488999999999976,True,True,2,0,25,4,0.0,0.0,0.000418676994740963,0.0010935741011053324,0.215186056913808,7.739989086985588e-06,8.75093974173069e-06,4.903203807771206e-05,0.21678094496019185
7619,9,1418,1.727543446002528,32.2084,32.2084,9.455799999999996,0.2049999999999983,True,True,2,0,25,4,0.0,0.0,0.0004159989766776562,0.0011010852176696062,0.32944894419051707,6.905989721417427e-06,8.67992639541626e-06,4.877382889389992e-05,0.3310489640571177
7619,10,1618,1.9711968670599163,32.531800000000004,32.531800000000004,9.779200000000003,0.32340000000000657,True,True,2,0,18,4,0.0,0.0,0.0004029730334877968,0.0010985271073877811,0.2420685919933021,7.416121661663055e-06,9.393086656928062e-06,4.8310961574316025e-05,0.24365163897164166
7619,11,1922,2.3410538639873266,33.011399999999995,33.011399999999995,10.258799999999994,0.4795999999999907,True,True,2,0,25,4,0.0,0.0,0.00040304986760020256,0.0010967790149152279,0.3682738430798054,7.743015885353088e-06,8.946983143687248e-06,5.117105320096016e-05,0.36985768494196236
7619,12,2377,2.894247716991231,33.1748,33.1748,10.422199999999997,0.16340000000000288,True,True,2,0,25,4,0.0,0.0,0.00040328106842935085,0.0010875740554183722,0.5516174510121346,7.292954251170158e-06,9.228009730577469e-06,5.197199061512947e-05,0.5531934997998178
7619,13,2635,3.2082040461245924,33.1748,33.1748,10.422199999999997,0.0,False,False,2,1,9,4,0.0,0.0,0.00041905883699655533,0.001098178094252944,0.3123548210132867,3.6479905247688293e-06,1.0042916983366013e-05,0.0,0.313903178088367
7619,14,2997,3.648866886040196,33.2109,33.2109,10.458300000000001,0.036100000000004684,True,True,2,0,22,4,0.0,0.0,0.00042341696098446846,0.0010827290825545788,0.4391206109430641,6.624963134527206e-06,9.032897651195526e-06,5.0001079216599464e-05,0.4407103268895298
7619,15,3445,4.193595048971474,33.2109,33.2109,10.458300000000001,0.0,False,False,2,1,22,4,0.0,0.0,0.00039939885027706623,0.001087771961465478,0.5431595600675792,3.582797944545746e-06,1.009809784591198e-05,0.0,0.5446773739531636
7619,16,3952,4.810108826961368,33.3123,33.3123,10.5597,0.10139999999999816,True,True,2,0,18,4,0.0,0.0,0.00041255191899836063,0.001080540008842945,0.6149828000925481,8.641043677926064e-06,9.68598760664463e-06,4.957197234034538e-05,0.6165616938378662
7619,17,4308,5.243368241935968,33.3123,33.3123,10.5597,0.0,False,False,2,1,11,4,0.0,0.0,0.0003981050103902817,0.0010875249281525612,0.4316913038492203,3.1669624149799347e-06,9.112991392612457e-06,0.0,0.43320625787600875
7619,18,4735,5.762999853119254,33.4864,33.4864,10.733800000000002,0.1741000000000028,True,True,2,0,21,4,0.0,0.0,0.0004137139767408371,0.001090895850211382,0.518091059057042,7.553026080131531e-06,9.895069524645805e-06,4.986906424164772e-05,0.519681170815602
7619,19,5025,6.115857313154265,33.4864,33.4864,10.733800000000002,0.0,False,False,2,1,17,4,0.0,0.0,0.0003981709014624357,0.0010974202305078506,0.351278682006523,3.4621916711330414e-06,9.595882147550583e-06,0.0,0.352804803987965
7619,20,5587,6.799269772134721,33.4864,33.4864,10.733800000000002,0.0,False,False,2,2,24,4,0.0,0.0,0.00041342410258948803,0.0010954781901091337,0.6818715729750693,3.977213054895401e-06,1.0186107829213142e-05,5.365302786231041e-05,0.6834652661345899
7619,21,6119,7.4460316461045295,33.4864,33.4864,10.733800000000002,0.0,False,False,2,3,23,4,0.0,0.0,0.0004169049207121134,0.0011084380093961954,0.6451492460910231,3.5909470170736313e-06,1.0122079402208328e-05,0.0,0.646705666789785
7619,22,6331,7.704052655026317,33.5656,33.5656,10.813000000000002,0.07920000000000016,True,True,2,0,14,4,0.0,0.0,0.0004126839339733124,0.0010810040403157473,0.256491269916296,7.258029654622078e-06,8.607981726527214e-06,4.873191937804222e-05,0.25806653196923435
7619,23,6531,7.947602030122653,33.5656,33.5656,10.813000000000002,0.0,False,False,2,1,8,4,0.0,0.0,0.0004223110154271126,0.0010999669320881367,0.24194867792539299,3.3499673008918762e-06,9.573064744472504e-06,0.0,0.24349998706020415
7619,24,6974,8.486901563126594,33.5656,33.5656,10.813000000000002,0.0,False,False,2,2,25,4,0.0,0.0,0.00041419314220547676,0.0010944330133497715,0.5377585219684988,3.5080593079328537e-06,1.0010087862610817e-05,0.0,0.5392983010970056
7619,25,7396,8.999999507097527,33.63889999999999,33.63889999999999,10.886299999999991,0.07329999999998904,True,True,2,0,25,4,0.0,0.0,0.0004142560064792633,0.0010889810509979725,0.5115577711258084,7.495982572436333e-06,9.082024917006493e-06,5.0416914746165276e-05,0.513145973905921
7619,26,7523,9.154742181999609,33.63889999999999,33.63889999999999,10.886299999999991,0.0,False,False,2,1,4,4,0.0,0.0,0.00042090704664587975,0.001097952015697956,0.15314125292934477,3.346940502524376e-06,1.0631978511810303e-05,0.0,0.15469191689044237
7619,27,8016,9.753959831083193,33.6867,33.6867,10.9341,0.04780000000000939,True,True,2,0,18,4,0.0,0.0,0.00041288603097200394,0.0010810380335897207,0.5976860930677503,7.64988362789154e-06,9.44291241466999e-06,5.102506838738918e-05,0.5992656829766929
7619,28,8219,10.00107691413723,33.6867,33.6867,10.9341,0.0,False,False,2,1,12,4,0.0,0.0,0.00039979396387934685,0.0010854708962142467,0.2455490347929299,3.102002665400505e-06,9.61613841354847e-06,0.0,0.24706400791183114
7619,29,8826,10.738971855025738,33.6867,33.6867,10.9341,0.0,False,False,2,2,21,4,0.0,0.0,0.00041352491825819016,0.0010771250817924738,0.7363721819128841,3.535998985171318e-06,9.584007784724236e-06,0.0,0.737893627025187
7619,30,8990,10.93858226109296,33.6867,33.6867,10.9341,0.0,False,False,2,3,7,4,0.0,0.0,0.00041309092193841934,0.0010896988678723574,0.1980754160322249,3.1872186809778214e-06,9.648967534303665e-06,4.996894858777523e-05,0.1996587028261274
7619,31,9537,11.603892799001187,33.8271,33.8271,11.0745,0.14039999999999964,True,True,2,0,25,4,0.0,0.0,0.0003994160797446966,0.0010851600673049688,0.6637387520167977,7.520895451307297e-06,9.780051186680794e-06,5.431612953543663e-05,0.6653132371138781
7619,32,9809,11.935270613059402,33.8271,33.8271,11.0745,0.0,False,False,2,1,5,4,0.0,0.0,0.00042446888983249664,0.0010976730845868587,0.32976855407468975,3.1229574233293533e-06,9.952113032341003e-06,0.0,0.33132118498906493
