run_id,location,key_location,walking_profile,method_code,seed,construction_objective,local_search_objective,local_search_gain,improvement_over_baseline,runtime_seconds,distinct_pairs
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,57,52.0787,53.021899999999995,0.9431999999999974,5.964199999999998,18.483734278939664,76
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,71,51.6381,52.385400000000004,0.7473000000000027,5.327700000000007,20.678909505717456,84
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,182,52.141600000000004,52.6361,0.49449999999999505,5.578400000000002,18.65309224324301,80
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,395,51.869600000000005,52.704899999999995,0.8352999999999895,5.647199999999998,18.610317531973124,87
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,417,51.710300000000004,52.869800000000005,1.1595000000000013,5.812100000000008,19.226891765836626,79
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,446,51.693799999999996,53.4297,1.7359000000000009,6.372,19.845898477826267,80
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,471,52.1571,53.2016,1.0444999999999993,6.143900000000002,18.039781579747796,81
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,516,51.6847,53.088499999999996,1.4037999999999968,6.030799999999999,19.04506098711863,79
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,596,51.6417,52.8852,1.2434999999999974,5.827500000000001,19.02783318888396,82
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,634,51.9685,53.030499999999996,1.0619999999999976,5.972799999999999,20.551267622038722,79
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,652,52.0484,52.9987,0.9502999999999986,5.9410000000000025,20.63305194210261,78
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,689,51.625600000000006,52.363600000000005,0.7379999999999995,5.305900000000008,18.302699607796967,83
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,733,51.8039,53.3369,1.5330000000000013,6.279200000000003,19.04050301713869,72
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,1065,51.84020000000001,52.416,0.5757999999999868,5.3583,18.832178995013237,83
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,1149,51.3792,51.7854,0.40620000000000545,4.727700000000006,19.001316852867603,89
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,1232,51.3621,53.3719,2.0097999999999985,6.3142,20.85211939411238,72
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,1273,52.0878,53.4065,1.3186999999999998,6.348800000000004,18.830012071877718,72
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,1356,51.391999999999996,53.1418,1.7498000000000076,6.0841000000000065,18.845801518764347,74
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,1561,51.534400000000005,53.4795,1.9450999999999965,6.421800000000005,20.79627750068903,76
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,1845,52.706199999999995,53.0736,0.3674000000000035,6.015900000000002,20.66243332438171,81
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,1858,51.9724,53.2585,1.2860999999999976,6.200800000000001,18.42628168174997,77
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,2036,52.064499999999995,52.5977,0.5332000000000079,5.540000000000006,18.562768262811005,80
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,2067,51.5628,52.86410000000001,1.3013000000000048,5.806400000000011,19.083047987893224,83
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,2133,51.8895,52.762,0.8725000000000023,5.7043000000000035,19.031089186202735,83
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,2141,51.9377,52.753299999999996,0.8155999999999963,5.695599999999999,18.577110475860536,84
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,2177,51.2822,51.99390000000001,0.7117000000000075,4.936200000000014,17.81880449084565,87
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,2286,51.8939,53.1456,1.2516999999999996,6.087900000000005,20.685913666617125,79
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,2411,51.88419999999999,53.4623,1.5781000000000063,6.404600000000002,19.295129626058042,76
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,2767,51.7252,52.991699999999994,1.2664999999999935,5.9339999999999975,19.70085059804842,74
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,2843,52.008700000000005,52.45989999999999,0.45119999999998583,5.4021999999999935,20.811347796116024,82
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,2885,51.5809,52.4614,0.8804999999999978,5.403700000000001,18.45177075266838,83
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,2887,51.88250000000001,53.3027,1.4201999999999941,6.2450000000000045,19.02185130212456,77
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,2937,51.46040000000001,52.68289999999999,1.2224999999999824,5.625199999999992,17.852241993881762,81
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,2949,51.980999999999995,52.21170000000001,0.230700000000013,5.154000000000011,18.586970038246363,79
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,3106,51.2852,52.5189,1.233699999999999,5.461200000000005,20.68285536998883,82
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,3129,52.0103,52.9812,0.9709000000000003,5.923500000000004,19.17963732406497,81
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,3235,51.816599999999994,53.0416,1.2250000000000085,5.9839000000000055,18.947770526167005,83
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,3415,51.961800000000004,52.730999999999995,0.7691999999999908,5.673299999999998,19.234160447027534,84
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,3459,51.98910000000001,53.9697,1.9805999999999955,6.912000000000006,19.399297231808305,66
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,3462,51.7735,52.539300000000004,0.7658000000000058,5.481600000000007,18.77934581320733,83
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,3557,51.8091,52.4435,0.6343999999999994,5.385800000000003,18.198531757108867,83
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,3589,52.01,52.88849999999999,0.8784999999999954,5.830799999999996,18.464242598041892,85
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,3646,51.6592,53.2157,1.5564999999999998,6.158000000000001,19.154667551163584,72
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,3764,52.8094,52.9658,0.15640000000000498,5.908100000000005,19.044476342387497,83
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,3801,51.52720000000001,51.99050000000001,0.4633000000000038,4.9328000000000145,19.524618234019727,89
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,4089,51.827799999999996,53.221199999999996,1.3933999999999997,6.163499999999999,18.162561629898846,74
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,4141,51.7252,52.403800000000004,0.678600000000003,5.346100000000007,18.953440194949508,86
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,4332,51.0947,52.63890000000001,1.5442000000000036,5.58120000000001,19.37603091588244,87
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,4374,51.8878,52.8253,0.9375,5.767600000000002,19.39338603010401,81
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,4428,51.718799999999995,52.72749999999999,1.0086999999999975,5.669799999999995,18.23083462426439,79
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,4432,51.7362,52.6804,0.9442000000000021,5.622700000000002,17.975211177952588,83
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,4821,51.6772,52.6096,0.9324000000000012,5.551900000000003,20.81710854265839,80
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,4843,51.4705,52.451899999999995,0.9813999999999936,5.394199999999998,20.665727752260864,80
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,4854,51.61450000000001,52.121700000000004,0.5071999999999974,5.064000000000007,19.103155402000993,81
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,4878,51.64750000000001,52.744600000000005,1.0970999999999975,5.6869000000000085,19.802439881954342,79
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,4897,51.91159999999999,53.18650000000001,1.2749000000000166,6.1288000000000125,18.816899921745062,78
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,4937,51.632000000000005,53.0308,1.3987999999999943,5.973100000000002,18.318712445907295,78
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,5173,51.58970000000001,52.6964,1.1066999999999894,5.6387,18.111797120887786,75
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,5230,52.40689999999999,53.5034,1.096500000000006,6.445700000000002,18.772680959664285,77
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,5455,51.790800000000004,53.4628,1.671999999999997,6.4051000000000045,18.59419501479715,74
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,6297,51.829899999999995,53.22930000000001,1.3994000000000142,6.171600000000012,20.68984702276066,78
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,6304,52.0963,53.0197,0.9234000000000009,5.962000000000003,19.239580906927586,76
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,6307,52.1593,53.099999999999994,0.9406999999999925,6.042299999999997,18.76948954584077,80
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,6415,52.1376,53.11750000000001,0.9799000000000078,6.05980000000001,19.474827491212636,76
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,6466,51.4048,52.8122,1.4073999999999955,5.7545,18.639596085995436,81
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,6469,51.4252,52.495400000000004,1.070200000000007,5.437700000000007,18.411743872333318,79
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,6473,51.802299999999995,52.82769999999999,1.0253999999999976,5.769999999999996,19.54458538815379,77
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,6640,51.580799999999996,53.0184,1.4376000000000033,5.960700000000003,18.586373253259808,80
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,6777,52.154900000000005,53.3177,1.1627999999999972,6.260000000000005,18.28334378497675,74
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,6815,52.3801,53.665099999999995,1.2849999999999966,6.607399999999998,20.797844767104834,74
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,6964,51.6844,52.85100000000001,1.1666000000000167,5.793300000000016,20.62553577730432,77
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,7110,52.0868,53.12850000000001,1.041700000000013,6.070800000000013,20.607479055877775,80
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,7206,51.977000000000004,52.407900000000005,0.43090000000000117,5.350200000000008,18.51962860301137,84
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,7217,51.5924,53.107600000000005,1.5152000000000072,6.049900000000008,19.451564365066588,71
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,7411,51.8761,52.339099999999995,0.46299999999999386,5.281399999999998,18.56468163896352,86
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,7477,51.55159999999999,52.207,0.6554000000000073,5.149300000000004,20.65802987711504,87
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,7558,51.7397,52.3327,0.5930000000000035,5.275000000000006,19.42196891270578,82
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,7619,52.18110000000001,52.883900000000004,0.7027999999999963,5.826200000000007,20.814816012978554,77
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,7735,51.5203,53.143,1.6227000000000018,6.085300000000004,19.086570590734482,75
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,7946,51.6863,52.336099999999995,0.6497999999999919,5.278399999999998,17.580197317991406,85
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,7987,51.5309,52.6038,1.072899999999997,5.546100000000003,19.52556008286774,84
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,8469,51.933200000000014,53.0322,1.0989999999999895,5.974500000000006,18.559603705070913,75
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,8488,51.9407,53.31229999999999,1.3715999999999937,6.254599999999996,19.289347807876766,79
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,8513,52.3973,53.2338,0.8365000000000009,6.176100000000005,20.564741054084152,77
