run_id,location,key_location,walking_profile,method_code,h3_id,dimension,quantity,latitude,longitude
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,89a8100ee2bffff,S_educacao,1,-23.571047688091245,-46.675308138646855
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,89a8100ee53ffff,U_urbanidade,3,-23.580813157784963,-46.66335471042346
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,89a8100e327ffff,U_urbanidade,2,-23.58248791561145,-46.66034360082841
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,89a8100e363ffff,S_educacao,1,-23.58305559329104,-46.64811780036651
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,89a8100c4a7ffff,S_educacao,1,-23.580273602754172,-46.64191429187679
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,89a8100c4a7ffff,U_urbanidade,2,-23.580273602754172,-46.64191429187679
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,89a8100c1cfffff,U_urbanidade,1,-23.551004278424088,-46.6441114848071
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,89a8100c103ffff,U_urbanidade,1,-23.54765422576662,-46.65013371448904
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,89a8100ea63ffff,U_urbanidade,1,-23.54986923599909,-46.66856167903762
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,89a8100c4b7ffff,U_urbanidade,3,-23.583339079072747,-46.64200473876385
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,89a8100c4a3ffff,S_educacao,5,-23.581948005136574,-46.63890295121959
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,89a8100c4a3ffff,U_urbanidade,5,-23.581948005136574,-46.63890295121959
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,89a8100c027ffff,U_urbanidade,1,-23.551287451286797,-46.63799866732049
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,89a8100c153ffff,U_urbanidade,2,-23.549612572172983,-46.64100987046318
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,89a8100ea6fffff,S_saude,1,-23.54680264736897,-46.66847111360483
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,89a8100ee13ffff,T_transporte,1,-23.58191929657144,-46.67256897005701
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,89a8100eec3ffff,S_educacao,1,-23.585269011545616,-46.666546900605866
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,89a8100eec3ffff,U_urbanidade,1,-23.585269011545616,-46.666546900605866
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,89a8100c15bffff,U_urbanidade,1,-23.548220769372534,-46.63790824367541
27a9f939,BK Avenida Paulista,av_paulista,average_adult,B,89a8100ee8fffff,U_urbanidade,1,-23.58330963886047,-46.67567054660741
