seed,step,objective
57,1,47.1322
57,2,47.1462
57,3,47.214299999999994
57,4,47.3665
57,5,47.4607
57,6,47.5292
57,7,47.616
57,8,47.6162
57,9,47.6669
57,10,47.727900000000005
57,11,47.7815
57,12,47.8469
57,13,47.9195
57,14,47.9885
57,15,48.0454
57,16,48.11
57,17,48.174800000000005
57,18,48.248200000000004
57,19,48.3347
57,20,48.37650000000001
57,21,48.426500000000004
57,22,48.507000000000005
57,23,48.5633
57,24,48.6226
57,25,48.6717
57,26,48.738
57,27,48.741699999999994
57,28,48.8085
57,29,48.8504
57,30,48.8688
57,31,48.939499999999995
57,32,48.9524
57,33,49.0133
57,34,49.08359999999999
57,35,49.084799999999994
57,36,49.149100000000004
57,37,49.219
57,38,49.2341
57,39,49.25620000000001
57,40,49.3227
57,41,49.3929
57,42,49.3952
57,43,49.4658
57,44,49.513600000000004
57,45,49.517799999999994
57,46,49.5283
57,47,49.597100000000005
57,48,49.6429
57,49,49.68050000000001
57,50,49.6832
57,51,49.7605
57,52,49.7671
57,53,49.8128
57,54,49.879999999999995
57,55,49.8977
57,56,49.939099999999996
57,57,49.9748
57,58,50.0172
57,59,50.0506
57,60,50.0878
57,61,50.1602
57,62,50.1774
57,63,50.2262
57,64,50.286699999999996
57,65,50.360299999999995
57,66,50.425200000000004
57,67,50.486599999999996
57,68,50.551300000000005
57,69,50.6062
57,70,50.673899999999996
57,71,50.745000000000005
57,72,50.830799999999996
57,73,50.8619
57,74,50.87100000000001
57,75,50.9435
57,76,50.9583
57,77,50.975300000000004
57,78,51.03399999999999
57,79,51.108200000000004
57,80,51.1262
57,81,51.1288
57,82,51.182
57,83,51.2067
57,84,51.272999999999996
57,85,51.3436
57,86,51.3577
57,87,51.437200000000004
57,88,51.522000000000006
57,89,51.6571
57,90,51.6683
57,91,51.745099999999994
57,92,51.777499999999996
57,93,51.7825
57,94,51.831999999999994
57,95,51.88040000000001
57,96,51.887699999999995
57,97,51.9429
57,98,52.0094
57,99,52.01819999999999
57,100,52.0787
71,1,47.074799999999996
71,2,47.1655
71,3,47.2398
71,4,47.2936
71,5,47.4469
71,6,47.5002
71,7,47.5818
