h3_id,indicator,value_baseline,value_optimized,delta
89a8100c503ffff,S_abastecimento,14.72,14.72,0.0
89a8100c503ffff,S_lazer,65.37,65.90283600000001,0.5328360000000032
89a8100c503ffff,S_servicos,51.73,51.73,0.0
89a8100c503ffff,I_seguranca,385.61,385.61,0.0
89a8100c503ffff,A_vegetacao,1.32,1.32,0.0
89a8100c503ffff,A_agua,0.01,0.01,0.0
89a8100c503ffff,C_conectividade,9.39,9.39,0.0
89a8100c503ffff,T_transporte,13.14,13.14,0.0
89a8100c503ffff,U_urbanidade,1.16,3.2146549999999996,2.0546549999999995
89a8100c50fffff,S_saude,15.14,15.511127,0.37112699999999954
89a8100c50fffff,S_educacao,6.74,8.607424,1.8674239999999998
89a8100c50fffff,S_abastecimento,16.06,16.06,0.0
89a8100c50fffff,S_lazer,56.63,57.092674,0.4626739999999998
89a8100c50fffff,S_servicos,47.47,47.47,0.0
89a8100c50fffff,I_seguranca,382.83,382.83,0.0
89a8100c50fffff,A_vegetacao,1.62,1.62,0.0
89a8100c50fffff,A_agua,0.07,0.07,0.0
89a8100c50fffff,C_conectividade,9.56,9.56,0.0
89a8100c50fffff,T_transporte,14.34,14.34,0.0
89a8100c50fffff,U_urbanidade,3.71,4.853415,1.143415
89a8100c577ffff,S_saude,9.85,9.878715,0.028715000000000046
89a8100c577ffff,S_educacao,3.77,5.836907,2.066907
89a8100c577ffff,S_abastecimento,10.91,10.91,0.0
89a8100c577ffff,S_lazer,27.49,27.539831,0.04983100000000107
89a8100c577ffff,S_servicos,20.28,20.28,0.0
89a8100c577ffff,I_seguranca,269.03,269.03,0.0
89a8100c577ffff,A_vegetacao,2.48,2.48,0.0
89a8100c577ffff,A_agua,0.11,0.11,0.0
89a8100c577ffff,C_conectividade,7.32,7.32,0.0
89a8100c577ffff,T_transporte,11.53,11.53,0.0
89a8100c577ffff,U_urbanidade,3.14,3.382922,0.24292200000000008
89a8100c52bffff,S_saude,9.67,9.67,0.0
89a8100c52bffff,S_educacao,6.89,7.92043,1.03043
89a8100c52bffff,S_abastecimento,9.63,9.63,0.0
89a8100c52bffff,S_lazer,42.53,42.530134000000004,0.00013400000000274304
89a8100c52bffff,S_servicos,30.18,30.18,0.0
89a8100c52bffff,I_seguranca,348.99,348.99,0.0
89a8100c52bffff,A_vegetacao,5.11,5.11,0.0
89a8100c52bffff,A_agua,0.03,0.03,0.0
89a8100c52bffff,C_conectividade,8.44,8.44,0.0
89a8100c52bffff,T_transporte,14.46,14.46,0.0
89a8100c52bffff,U_urbanidade,6.74,6.74,0.0
89a8100c52fffff,S_saude,13.77,13.77,0.0
89a8100c52fffff,S_educacao,5.91,6.186640000000001,0.27664000000000044
89a8100c52fffff,S_abastecimento,12.81,12.81,0.0
89a8100c52fffff,S_lazer,67.36,67.36,0.0
89a8100c52fffff,S_servicos,42.25,42.25,0.0
89a8100c52fffff,I_seguranca,353.79,353.79,0.0
89a8100c52fffff,A_vegetacao,5.27,5.27,0.0
89a8100c52fffff,A_agua,0.02,0.02,0.0
89a8100c52fffff,C_conectividade,7.97,7.97,0.0
89a8100c52fffff,T_transporte,14.25,14.25,0.0
89a8100c52fffff,U_urbanidade,6.18,6.556818,0.3768180000000001
89a8100c527ffff,S_saude,11.13,11.13,0.0
89a8100c527ffff,S_educacao,7.0,7.003033,0.0030330000000002855
89a8100c527ffff,S_abastecimento,12.23,12.23,0.0
89a8100c527ffff,S_lazer,82.8,82.8,0.0
89a8100c527ffff,S_servicos,45.64,45.64,0.0
89a8100c527ffff,I_seguranca,368.67,368.67,0.0
89a8100c527ffff,A_vegetacao,5.47,5.47,0.0
89a8100c527ffff,A_agua,0.03,0.03,0.0
89a8100c527ffff,C_conectividade,7.21,7.21,0.0
89a8100c527ffff,T_transporte,18.84,18.84,0.0
89a8100c527ffff,U_urbanidade,3.95,5.222005,1.272005
89a8100eacbffff,S_saude,12.47,12.47,0.0
89a8100eacbffff,S_educacao,2.61,2.61,0.0
89a8100eacbffff,S_abastecimento,13.56,14.173058000000001,0.6130580000000005
89a8100eacbffff,S_lazer,68.22,68.22,0.0
89a8100eacbffff,S_servicos,29.53,29.53,0.0
89a8100eacbffff,I_seguranca,339.58,339.58,0.0
89a8100eacbffff,A_vegetacao,1.45,1.45,0.0
89a8100eacbffff,A_agua,0.0,0.0,0.0
89a8100eacbffff,C_conectividade,7.66,7.66,0.0
89a8100eacbffff,T_transporte,23.01,23.01,0.0
89a8100eacbffff,U_urbanidade,1.08,3.450206,2.370206
89a8100eadbffff,S_saude,11.48,11.48,0.0
89a8100eadbffff,S_educacao,0.77,1.053595,0.28359500000000004
89a8100eadbffff,S_abastecimento,9.73,10.408006,0.6780059999999999
89a8100eadbffff,S_lazer,39.76,39.76,0.0
89a8100eadbffff,S_servicos,20.61,20.684113,0.07411300000000054
89a8100eadbffff,I_seguranca,285.29,285.29,0.0
89a8100eadbffff,A_vegetacao,0.92,0.92,0.0
89a8100eadbffff,A_agua,0.0,0.0,0.0
89a8100eadbffff,C_conectividade,6.85,6.85,0.0
89a8100eadbffff,T_transporte,12.62,12.62,0.0
89a8100eadbffff,U_urbanidade,0.52,0.758595,0.238595
89a8100c5a7ffff,S_saude,15.5,15.5,0.0
89a8100c5a7ffff,S_educacao,1.8,2.329273,0.5292730000000001
89a8100c5a7ffff,S_abastecimento,10.05,10.304284,0.2542840000000002
89a8100c5a7ffff,S_lazer,42.24,42.249873,0.00987299999999891
89a8100c5a7ffff,S_servicos,26.09,26.181799,0.09179900000000174
89a8100c5a7ffff,I_seguranca,446.11,446.11,0.0
89a8100c5a7ffff,A_vegetacao,1.6,1.6,0.0
89a8100c5a7ffff,A_agua,0.0,0.0,0.0
89a8100c5a7ffff,C_conectividade,10.93,10.93,0.0
89a8100c5a7ffff,T_transporte,13.17,13.17,0.0
89a8100c5a7ffff,U_urbanidade,0.48,1.656104,1.176104
89a8100c5a3ffff,S_saude,13.97,13.97,0.0
89a8100c5a3ffff,S_educacao,3.77,4.880654,1.1106539999999998
