indicator,weight_baseline,weight_optimized
S_saude,0.07581551871554368,0.07201825437395096
S_educacao,0.11631877397661963,0.11723075052574791
S_abastecimento,0.08077703985939554,0.07558102736880913
S_lazer,0.0724273000588705,0.06802803392595654
S_servicos,0.07251642898521146,0.06858306768486744
I_seguranca,0.10411776897600188,0.09862112100294951
A_vegetacao,0.08642703589327815,0.07768979407418836
A_agua,0.08687717340035703,0.07786527156278886
C_conectividade,0.1145996610078121,0.10465866236013742
T_transporte,0.08560450655722418,0.07893841891329974
U_urbanidade,0.10451879256968584,0.16078559820730404
