seed,iter,eval_count,elapsed_s,alpha_used,rcl_size_mean,construction_sum_iqc,after_ls_sum_iqc,best_sum_iqc,delta_vs_baseline,delta_vs_best_prev,improved,no_improve_streak,local_search_accepted_moves,t_construction_s,t_candidate_eval_s,t_local_search_s,t_iter_total_s
8513,1,85,0.15825021546334028,0.7972839493810634,425.21,42.341499999999996,44.25,44.25,5.716200000000001,,True,0,25,0.01096267718821764,0.0016537541523575783,0.14544317312538624,0.1580796130001545
8513,2,161,0.30142848938703537,0.9450385164060042,855.64,41.1007,42.0816,44.25,5.716200000000001,0.0,False,1,25,0.010985416360199451,0.001667441800236702,0.130431542173028,0.1431035902351141
8513,3,253,0.4731564549729228,0.5582084125194213,119.88,44.531000000000006,47.62349999999999,47.62349999999999,9.089699999999993,3.373499999999993,True,0,25,0.010395484045147896,0.0017492882907390594,0.159547901712358,0.1717172358185053
8513,4,306,0.5780003378167748,0.7443290781612941,318.95,43.015299999999996,44.1956,47.62349999999999,9.089699999999993,0.0,False,1,25,0.010829606093466282,0.0017201835289597511,0.09209154918789864,0.1046622060239315
8513,5,379,0.7181738158687949,0.7925450156244264,372.81,43.1867,44.14,47.62349999999999,9.089699999999993,0.0,False,2,25,0.01127571240067482,0.0017726663500070572,0.12709377519786358,0.1401622984558344
8513,6,436,0.8287753155454993,0.16610248841366237,14.26,38.0842,40.4672,47.62349999999999,9.089699999999993,0.0,False,3,25,0.010031023062765598,0.001736111007630825,0.09879865031689405,0.11058823019266129
8513,7,569,1.0767363021150231,0.3987832951042526,76.02,40.86919999999999,44.5605,47.62349999999999,9.089699999999993,0.0,False,4,25,0.010148260742425919,0.0017651040107011795,0.2360140047967434,0.2479487108066678
8513,8,634,1.2019348703324795,0.23570664293019983,26.1,38.729,40.409499999999994,47.62349999999999,9.089699999999993,0.0,False,5,25,0.010021687485277653,0.001742054708302021,0.11340268049389124,0.12518700771033764
8513,9,677,1.286181760020554,0.09662228728268929,9.08,35.5119,37.4246,47.62349999999999,9.089699999999993,0.0,False,6,25,0.009769615717232227,0.0016002058982849121,0.07284638099372387,0.08423612918704748
8513,10,732,1.3941469760611653,0.8104041361703951,431.95,42.3645,43.7801,47.62349999999999,9.089699999999993,0.0,False,7,25,0.010768827982246876,0.0017205318436026573,0.09544252697378397,0.107953074388206
