seed,iter,eval_count,elapsed_s,alpha_used,rcl_size_mean,construction_sum_iqc,after_ls_sum_iqc,best_sum_iqc,delta_vs_baseline,delta_vs_best_prev,improved,no_improve_streak,local_search_accepted_moves,t_construction_s,t_candidate_eval_s,t_local_search_s,t_iter_total_s
2937,1,51,0.17911073938012123,0.8186728088282325,708.34,63.52319999999999,64.0086,64.0086,1.0622000000000043,,True,0,25,0.013555060140788555,0.0054225074127316475,0.15944754239171743,0.17852056212723255
2937,2,113,0.3959543742239475,0.6195895485585939,430.49,63.5459,64.49289999999999,64.49289999999999,1.5464999999999947,0.4842999999999904,True,0,25,0.011013497598469257,0.003256247378885746,0.20230610948055983,0.21661479119211435
2937,3,156,0.5504432674497366,0.9968196678070217,1279.0,63.016299999999994,63.295199999999994,64.49289999999999,1.5464999999999947,0.0,False,1,25,0.01246783696115017,0.0031686611473560333,0.13876321632415056,0.1544250249862671
2937,4,206,0.7269436325877905,0.8374710145841863,715.93,63.18430000000001,63.944100000000006,64.49289999999999,1.5464999999999947,0.0,False,2,25,0.011002174578607082,0.0030265767127275467,0.1624095542356372,0.17646517790853977
2937,5,263,0.9208625322207808,0.775056569510419,667.76,63.3934,63.950199999999995,64.49289999999999,1.5464999999999947,0.0,False,3,25,0.010752103291451931,0.003159129060804844,0.17996566835790873,0.19390382058918476
2937,6,319,1.1192018259316683,0.772473246748055,665.33,63.353699999999996,63.81490000000001,64.49289999999999,1.5464999999999947,0.0,False,4,25,0.01101460587233305,0.003212214447557926,0.18406830821186304,0.19832267705351114
2937,7,371,1.300091995857656,0.7103867685755666,597.46,63.54700000000001,63.874900000000004,64.49289999999999,1.5464999999999947,0.0,False,5,25,0.010537656955420971,0.003195982426404953,0.16711741965264082,0.18087729718536139
2937,8,432,1.5107760904356837,0.07624933404783085,10.66,62.47630000000001,63.18090000000001,64.49289999999999,1.5464999999999947,0.0,False,6,25,0.009546210989356041,0.0032560694962739944,0.19784497655928135,0.21067169960588217
2937,9,509,1.771549410186708,0.0035086568315441102,1.19,60.0791,60.914199999999994,64.49289999999999,1.5464999999999947,0.0,False,7,25,0.00970712210983038,0.00319663155823946,0.24782162625342607,0.2607605727389455
2937,10,570,1.9807724598795176,0.17921093782252218,61.1,63.49640000000001,63.814499999999995,64.49289999999999,1.5464999999999947,0.0,False,8,25,0.009881129488348961,0.0031978068873286247,0.19609224423766136,0.20920498855412006
2937,11,624,2.1725347973406315,0.5412543288736665,283.96,63.62499999999999,64.5636,64.5636,1.6171999999999969,0.0707000000000022,True,0,25,0.010616322048008442,0.0033320989459753036,0.17725279927253723,0.19158788304775953
2937,12,679,2.3656222159042954,0.6062506123764917,396.58,63.5748,64.35679999999999,64.5636,1.6171999999999969,0.0,False,1,25,0.011408151127398014,0.0033018598333001137,0.17789532244205475,0.1926441565155983
2937,13,723,2.5209638392552733,0.2550169290413147,114.43,62.7791,63.765299999999996,64.5636,1.6171999999999969,0.0,False,2,25,0.009955041110515594,0.0031752781942486763,0.1421521669253707,0.1553109548985958
2937,14,775,2.703105730935931,0.46605914494317124,201.81,63.9422,64.5907,64.5907,1.6443000000000012,0.027100000000004343,True,0,25,0.010256663896143436,0.003214605152606964,0.1686167912557721,0.18211994506418705
2937,15,817,2.8486714689061046,0.8032704562096361,693.07,63.5131,64.07050000000001,64.5907,1.6443000000000012,0.0,False,1,25,0.011231177486479282,0.0031867120414972305,0.13091183453798294,0.14535708632320166
2937,16,870,3.028479720465839,0.3517596444642821,143.2,63.174099999999996,63.80010000000001,64.5907,1.6443000000000012,0.0,False,2,25,0.009920064359903336,0.0031808624044060707,0.16666093934327364,0.17979302164167166
2937,17,922,3.2093797037377954,0.24729096085381885,100.68,63.1623,63.8017,64.5907,1.6443000000000012,0.0,False,3,25,0.009641307406127453,0.003020002506673336,0.1681956658139825,0.18088679481297731
2937,18,983,3.422060292214155,0.7003897946853405,569.11,64.05669999999999,64.6552,64.6552,1.7087999999999965,0.06449999999999534,True,0,25,0.010795879177749157,0.003117980435490608,0.1986808180809021,0.2126260781660676
2937,19,1061,3.6918499590829015,0.4642282770341234,184.58,63.48929999999999,64.2654,64.6552,1.7087999999999965,0.0,False,1,25,0.010991856455802917,0.003241177648305893,0.25534117221832275,0.2696021841838956
2937,20,1105,3.846314661204815,0.9608376246337217,1087.74,63.2619,63.6037,64.6552,1.7087999999999965,0.0,False,2,25,0.011237415485084057,0.003058520145714283,0.14012643974274397,0.15445057023316622
2937,21,1166,4.059121346101165,0.9304525676335542,763.16,62.864299999999986,63.834700000000005,64.6552,1.7087999999999965,0.0,False,3,25,0.010832106694579124,0.0032287295907735825,0.198511085473001,0.21260374411940575
2937,22,1211,4.214189251884818,0.5164294557162713,257.91,63.602599999999995,64.40610000000001,64.6552,1.7087999999999965,0.0,False,4,25,0.010189278982579708,0.0030236775055527687,0.14181183744221926,0.15505322627723217
2937,23,1249,4.34590273629874,0.6316222019676536,451.25,63.3886,63.9939,64.6552,1.7087999999999965,0.0,False,5,25,0.010713525116443634,0.0031277984380722046,0.11782644782215357,0.1316984724253416
2937,24,1299,4.522345776669681,0.7993771425257747,696.98,63.600899999999996,64.1926,64.6552,1.7087999999999965,0.0,False,6,25,0.011640248820185661,0.003302324563264847,0.1614557607099414,0.17642648424953222
2937,25,1356,4.715531758032739,0.537083478760223,267.05,64.0201,64.6765,64.6765,1.7301000000000073,0.021300000000010755,True,0,25,0.010097921825945377,0.003094105049967766,0.17991180066019297,0.1931421235203743
2937,26,1437,4.984354581683874,0.07545327230075793,10.69,62.511700000000005,63.171800000000005,64.6765,1.7301000000000073,0.0,False,1,25,0.009654787369072437,0.003004409372806549,0.2560634557157755,0.2687505157664418
2937,27,1481,5.140374915674329,0.9316675366578411,767.38,63.6108,64.1867,64.6765,1.7301000000000073,0.0,False,2,25,0.010916541330516338,0.0032378872856497765,0.141823492012918,0.15600644703954458
2937,28,1524,5.290186673402786,0.03899219043855118,3.8,60.89149999999999,61.6181,64.6765,1.7301000000000073,0.0,False,3,25,0.009555686265230179,0.0032825125381350517,0.13693328946828842,0.14979789312928915
2937,29,1572,5.458522493951023,0.8414511659075221,715.67,63.1345,63.83200000000001,64.6765,1.7301000000000073,0.0,False,4,25,0.01068006083369255,0.003243795596063137,0.15436988789588213,0.1683217417448759
2937,30,1630,5.66051160171628,0.40939505539470744,168.65,63.475200000000015,64.44590000000001,64.6765,1.7301000000000073,0.0,False,5,25,0.009774861857295036,0.0033044470474123955,0.18886992149055004,0.20197591185569763
2937,31,1686,5.855052073486149,0.5555947351106937,294.26,63.48819999999999,64.0918,64.6765,1.7301000000000073,0.0,False,6,25,0.01018970925360918,0.0032439054921269417,0.1808695262297988,0.19433409068733454
2937,32,1772,6.14007830247283,0.11273437877611725,25.15,63.69380000000001,64.3709,64.6765,1.7301000000000073,0.0,False,7,25,0.009549485519528389,0.0030740397050976753,0.2723602997139096,0.2850119136273861
2937,33,1829,6.332639029249549,0.2794879131664001,113.17,63.272400000000005,63.677899999999994,64.6765,1.7301000000000073,0.0,False,8,25,0.009826986119151115,0.0031195655465126038,0.17956614214926958,0.19254568219184875
2937,34,1880,6.513576545752585,0.8838180538433668,730.87,63.3535,64.1596,64.6765,1.7301000000000073,0.0,False,9,25,0.011275679804384708,0.0033070407807826996,0.1663113683462143,0.1809229040518403
2937,35,1939,6.7190114967525005,0.9830125839280867,1239.54,63.51220000000001,63.735299999999995,64.6765,1.7301000000000073,0.0,False,10,25,0.011421440169215202,0.0031897807493805885,0.19076050259172916,0.205400712788105
2937,36,1991,6.896761484444141,0.9735641531439161,1168.88,63.6429,63.8699,64.6765,1.7301000000000073,0.0,False,11,25,0.011282608844339848,0.0030341632664203644,0.1633938131853938,0.17773740738630295
2937,37,2049,7.101354287005961,0.9085892533034371,732.0,63.794200000000004,64.1963,64.6765,1.7301000000000073,0.0,False,12,25,0.010576343163847923,0.0032166000455617905,0.19075601175427437,0.2045786613598466
2937,38,2118,7.339555417187512,0.10854532227222169,28.4,62.7785,63.2385,64.6765,1.7301000000000073,0.0,False,13,25,0.009773963131010532,0.0032839924097061157,0.2250980008393526,0.23818579781800508
2937,39,2195,7.604059815406799,0.825824081248856,709.71,64.2247,64.72670000000001,64.72670000000001,1.780300000000011,0.0502000000000038,True,0,25,0.010642900131642818,0.0031254561617970467,0.25068529788404703,0.2644899794831872
2937,40,2240,7.764393860474229,0.7231710565107586,604.71,63.43860000000001,64.0966,64.72670000000001,1.780300000000011,0.0,False,1,25,0.010670133866369724,0.0032623251900076866,0.14629067294299603,0.16025160253047943
2937,41,2297,7.964009886607528,0.15497017622094433,44.28,63.123000000000005,63.88720000000001,64.72670000000001,1.780300000000011,0.0,False,2,25,0.009893110021948814,0.00328181404620409,0.18633669149130583,0.1995385503396392
2937,42,2354,8.161438955925405,0.13012215096592472,31.58,63.1694,64.2826,64.72670000000001,1.780300000000011,0.0,False,3,25,0.009821264073252678,0.003238266333937645,0.18432796001434326,0.19741523079574108
2937,43,2407,8.347098421305418,0.6687286857694957,523.89,63.6505,64.1512,64.72670000000001,1.780300000000011,0.0,False,4,25,0.010678179562091827,0.003263230435550213,0.17167352605611086,0.18564492370933294
2937,44,2466,8.552231173962355,0.9788798980816098,1222.85,63.061800000000005,63.6131,64.72670000000001,1.780300000000011,0.0,False,5,25,0.011203603819012642,0.003131941892206669,0.19075445365160704,0.20511921867728233
2937,45,2516,8.727630672045052,0.43848927934224957,194.26,63.450900000000004,64.0194,64.72670000000001,1.780300000000011,0.0,False,6,25,0.009983950294554234,0.0032624881714582443,0.16210776008665562,0.17538540437817574
2937,46,2562,8.890211089514196,0.6896588788236124,561.42,63.10419999999999,64.0735,64.72670000000001,1.780300000000011,0.0,False,7,25,0.010586605407297611,0.0031446926295757294,0.148804297670722,0.16256572492420673
2937,47,2623,9.101149259135127,0.06146945069650045,6.72,62.3856,63.0721,64.72670000000001,1.780300000000011,0.0,False,8,25,0.009773705154657364,0.0031774183735251427,0.19794685952365398,0.21092488523572683
2937,48,2694,9.346059836447239,0.9830181177670951,1241.24,63.53079999999999,64.0351,64.72670000000001,1.780300000000011,0.0,False,9,25,0.011560729704797268,0.003031693398952484,0.230273911729455,0.2448958158493042
2937,49,2749,9.538113973103464,0.5075652654703736,231.86,63.1534,64.2097,64.72670000000001,1.780300000000011,0.0,False,10,25,0.010183916427195072,0.003239472396671772,0.1785892080515623,0.19204122852534056
2937,50,2795,9.699443229474127,0.6547224147073913,495.72,63.721900000000005,64.1533,64.72670000000001,1.780300000000011,0.0,False,11,25,0.01053947675973177,0.0030543217435479164,0.14769459795206785,0.161315125413239
2937,51,2826,9.811800799332559,0.05505564616361491,6.23,61.12179999999999,62.0513,64.72670000000001,1.780300000000011,0.0,False,12,25,0.009608655236661434,0.0031972555443644524,0.0994140962138772,0.112249206751585
2937,52,2900,10.066492460668087,0.45800758424870036,192.62,64.056,65.09389999999999,65.09389999999999,2.1474999999999937,0.36719999999998265,True,0,25,0.010103771463036537,0.0032729897648096085,0.24126587435603142,0.25467749778181314
2937,53,2962,10.280483822338283,0.025445049808105358,1.48,60.0563,60.86460000000001,65.09389999999999,2.1474999999999937,0.0,False,1,25,0.009227537550032139,0.003284124657511711,0.20135460328310728,0.2138979472219944
2937,54,3034,10.529700291343033,0.5436087625793284,313.32,64.0494,64.6595,65.09389999999999,2.1474999999999937,0.0,False,2,25,0.010285228490829468,0.0032768649980425835,0.23558470327407122,0.2491777753457427
2937,55,3111,10.787166873924434,0.14726125818301872,38.15,63.462199999999996,64.0292,65.09389999999999,2.1474999999999937,0.0,False,3,25,0.010247968137264252,0.0033281315118074417,0.2438458250835538,0.2574517335742712
2937,56,3160,10.953711633570492,0.6569699827524279,496.2,63.6375,64.1125,65.09389999999999,2.1474999999999937,0.0,False,4,25,0.01056000404059887,0.0031898748129606247,0.1527508469298482,0.16653059888631105
2937,57,3213,11.138280992396176,0.6749769707921187,518.89,63.5318,64.0932,65.09389999999999,2.1474999999999937,0.0,False,5,25,0.010638751089572906,0.003317202441394329,0.17057263385504484,0.18455572240054607
2937,58,3279,11.35982396826148,0.15115911702189155,41.71,63.2219,64.0257,65.09389999999999,2.1474999999999937,0.0,False,6,25,0.009529657661914825,0.003037715330719948,0.20893482118844986,0.22153008542954922
2937,59,3356,11.616929771378636,0.2559923040449402,102.7,63.35999999999999,63.8068,65.09389999999999,2.1474999999999937,0.0,False,7,25,0.010303586721420288,0.0033513447269797325,0.24338604137301445,0.25707019679248333
2937,60,3454,11.947101638652384,0.17000493448078058,54.54,63.719600000000014,64.9202,65.09389999999999,2.1474999999999937,0.0,False,8,25,0.009866050444543362,0.0031758975237607956,0.3170840786769986,0.3301572669297457
2937,61,3543,12.248271545395255,0.313929105967222,118.08,63.8548,64.30810000000001,65.09389999999999,2.1474999999999937,0.0,False,9,25,0.010310943238437176,0.003300277516245842,0.28744604531675577,0.3010845109820366
2937,62,3605,12.463636737316847,0.2595918764584686,109.02,63.372099999999996,63.94749999999999,65.09389999999999,2.1474999999999937,0.0,False,10,25,0.010064777918159962,0.0032433411106467247,0.2020131591707468,0.21535094641149044
2937,63,3663,12.66553761716932,0.46488028802826986,192.65,63.710100000000004,64.3449,65.09389999999999,2.1474999999999937,0.0,False,11,25,0.009913701564073563,0.0031411973759531975,0.18880219291895628,0.20188632514327765
2937,64,3735,12.914582062512636,0.21785005328065166,81.62,63.2856,64.0995,65.09389999999999,2.1474999999999937,0.0,False,12,25,0.010690577328205109,0.0033384058624505997,0.23497059289366007,0.24902961309999228
2937,65,3793,13.116506648249924,0.6148305547822126,421.62,63.8043,64.4214,65.09389999999999,2.1474999999999937,0.0,False,13,25,0.010291703045368195,0.0031632548198103905,0.18842575512826443,0.20190966594964266
2937,66,3834,13.261930563487113,0.03946010777722164,3.73,60.783699999999996,61.4566,65.09389999999999,2.1474999999999937,0.0,False,14,25,0.009379916824400425,0.0032628700137138367,0.1327382130548358,0.14540955796837807
2937,67,3888,13.451053698547184,0.4457878823681217,173.32,63.6215,64.6845,65.09389999999999,2.1474999999999937,0.0,False,15,25,0.009816339239478111,0.0032207462936639786,0.17603878676891327,0.1891069281846285
2937,68,3944,13.647527439519763,0.5582833986468095,342.1,63.149699999999996,63.80010000000001,65.09389999999999,2.1474999999999937,0.0,False,16,25,0.010271609760820866,0.0032775718718767166,0.1828796286135912,0.19645914901047945
2937,69,3986,13.797805136069655,0.6873243213532205,577.05,62.7863,63.7405,65.09389999999999,2.1474999999999937,0.0,False,17,25,0.01068746205419302,0.003230063244700432,0.1362929344177246,0.15024083107709885
2937,70,4051,14.023341390304267,0.49041918896651515,225.59,64.269,64.8735,65.09389999999999,2.1474999999999937,0.0,False,18,25,0.010227047838270664,0.0032409541308879852,0.21202421933412552,0.22552163247019053
2937,71,4127,14.279680205509067,0.8009740158313693,694.79,63.6953,64.1226,65.09389999999999,2.1474999999999937,0.0,False,19,25,0.01083205733448267,0.0031262459233403206,0.2421848066151142,0.25617121811956167
2937,72,4183,14.470238002948463,0.9712715634877741,1151.7,63.3975,63.8401,65.09389999999999,2.1474999999999937,0.0,False,20,25,0.011099875904619694,0.003065946511924267,0.17634674161672592,0.19054264668375254
2937,73,4268,14.753833695314825,0.12703493975379954,30.9,63.4076,64.48479999999999,65.09389999999999,2.1474999999999937,0.0,False,21,25,0.009406717494130135,0.00319571141153574,0.27095325849950314,0.2835832070559263
2937,74,4328,14.963541482575238,0.47576604890631313,211.97,63.6295,64.3973,65.09389999999999,2.1474999999999937,0.0,False,22,25,0.010298228822648525,0.0032258369028568268,0.19614054448902607,0.2096937308087945
2937,75,4383,15.156720796599984,0.6656324126113924,525.61,63.89789999999999,64.7809,65.09389999999999,2.1474999999999937,0.0,False,23,25,0.010476368479430676,0.0032168691977858543,0.17944176960736513,0.1931654280051589
2937,76,4421,15.286746463738382,0.028205240469872606,1.46,60.05709999999999,60.7642,65.09389999999999,2.1474999999999937,0.0,False,24,25,0.009427927434444427,0.0031299302354454994,0.1174264820292592,0.1300128372386098
2937,77,4480,15.48713715467602,0.5018750010141045,262.45,63.893100000000004,64.5226,65.09389999999999,2.1474999999999937,0.0,False,25,25,0.010171327739953995,0.0031526070088148117,0.18702080566436052,0.2003766130656004
2937,78,4547,15.715063447132707,0.7391121388389381,615.6,64.0249,64.5608,65.09389999999999,2.1474999999999937,0.0,False,26,25,0.010829193517565727,0.003145969472825527,0.21390477754175663,0.2279096031561494
2937,79,4672,16.13882567267865,0.1573135042947107,45.01,63.3709,64.3651,65.09389999999999,2.1474999999999937,0.0,False,27,25,0.009757916443049908,0.0031172484159469604,0.4108222033828497,0.42372595705091953
2937,80,4743,16.38371765986085,0.24775158304521216,99.29,62.943299999999994,63.669,65.09389999999999,2.1474999999999937,0.0,False,28,25,0.010113067924976349,0.0032257158309221268,0.23151365108788013,0.24487897753715515
2937,81,4787,16.539624709635973,0.3739040864037829,149.0,63.863400000000006,64.7602,65.09389999999999,2.1474999999999937,0.0,False,29,25,0.010013791732490063,0.003257705830037594,0.14249164052307606,0.15579242166131735
2937,82,4831,16.694518834352493,0.01934502667207816,1.49,60.05709999999999,60.557599999999994,65.09389999999999,2.1474999999999937,0.0,False,30,25,0.009621309116482735,0.0031375400722026825,0.14208979718387127,0.15487972181290388
2937,83,4908,16.953558441251516,0.16649586788254078,51.82,63.386399999999995,64.3069,65.09389999999999,2.1474999999999937,0.0,False,31,25,0.009816641919314861,0.003208627924323082,0.24597114697098732,0.25902528688311577
2937,84,4959,17.133281051181257,0.8150921921495808,706.18,63.498400000000004,64.11989999999999,65.09389999999999,2.1474999999999937,0.0,False,32,25,0.010456738993525505,0.003209010697901249,0.16601144056767225,0.1797078074887395
2937,85,5037,17.39279607217759,0.2910798662898264,115.73,63.6174,64.2714,65.09389999999999,2.1474999999999937,0.0,False,33,25,0.009986822493374348,0.0032446617260575294,0.2462382772937417,0.25949927791953087
2937,86,5098,17.598772276192904,0.5349443620253039,277.44,63.90209999999999,64.48859999999999,65.09389999999999,2.1474999999999937,0.0,False,34,25,0.010133379139006138,0.0031887833029031754,0.19260645285248756,0.20596003625541925
2937,87,5173,17.853016023524106,0.18273777784557355,65.03,63.2025,64.217,65.09389999999999,2.1474999999999937,0.0,False,35,25,0.009741184301674366,0.003101830370724201,0.24133349861949682,0.2542289877310395
2937,88,5246,18.105364504270256,0.5860647172641564,382.55,63.57900000000001,64.276,65.09389999999999,2.1474999999999937,0.0,False,36,25,0.010256442241370678,0.003129351884126663,0.2389194844290614,0.25233475863933563
2937,89,5296,18.2808334575966,0.2094500779456615,75.49,62.8262,63.58720000000001,65.09389999999999,2.1474999999999937,0.0,False,37,25,0.009958676062524319,0.003321239724755287,0.16214454267174006,0.17545476835221052
2937,90,5344,18.44478082563728,0.006462445853334664,1.22,60.05709999999999,60.7211,65.09389999999999,2.1474999999999937,0.0,False,38,25,0.00944758951663971,0.003232269547879696,0.15122088603675365,0.16393304150551558
2937,91,5417,18.68922231066972,0.23974835214466672,89.71,63.4118,64.12899999999999,65.09389999999999,2.1474999999999937,0.0,False,39,25,0.00934075191617012,0.0031450632959604263,0.2317400062456727,0.2442541541531682
2937,92,5485,18.923973289318383,0.033143585856692526,2.67,60.388400000000004,60.9598,65.09389999999999,2.1474999999999937,0.0,False,40,25,0.0093233622610569,0.0031225737184286118,0.2222595140337944,0.23473708052188158
2937,93,5582,19.257400784641504,0.28625586205826326,114.35,63.581599999999995,64.5531,65.09389999999999,2.1474999999999937,0.0,False,41,25,0.01028590276837349,0.003334715962409973,0.31973657943308353,0.3333896119147539
2937,94,5634,19.439637815579772,0.9384862454954446,829.31,63.4762,63.80689999999999,65.09389999999999,2.1474999999999937,0.0,False,42,25,0.010704325512051582,0.003191443160176277,0.16830187942832708,0.18222241010516882
2937,95,5685,19.614156899042428,0.9239271013259158,733.83,63.8618,64.09960000000001,65.09389999999999,2.1474999999999937,0.0,False,43,25,0.010887888260185719,0.0031999312341213226,0.16038591228425503,0.17450452502816916
2937,96,5751,19.83847261313349,0.3862022770887995,142.71,63.183499999999995,63.8797,65.09389999999999,2.1474999999999937,0.0,False,44,25,0.00977651122957468,0.0030022552236914635,0.21149152796715498,0.22430081758648157
