walking profile, minimum value, maximum value, mean, standard deviation, mean time (s)
average_adult,46.3714,48.1233,47.011271,0.371850722273812,41.119782621930014
elderly,36.8408,37.6332,37.320522,0.1569746389990718,31.143118283100023
athlete,53.4502,55.6198,54.598803,0.5484042427126659,51.8953054139
