seed,iter,eval_count,elapsed_s,alpha_used,rcl_size_mean,construction_sum_iqc,after_ls_sum_iqc,best_sum_iqc,delta_vs_baseline,delta_vs_best_prev,improved,no_improve_streak,local_search_accepted_moves,t_construction_s,t_candidate_eval_s,t_local_search_s,t_iter_total_s
7735,1,59,0.23583790846168995,0.9866831876060845,1136.25,45.6496,46.4676,46.4676,3.926499999999997,,True,0,25,0.02541597466915846,0.012311777099967003,0.1975864376872778,0.2353913327679038
7735,2,137,0.4579633390530944,0.799833393747677,297.03,46.832800000000006,48.841899999999995,48.841899999999995,6.300799999999995,2.374299999999998,True,0,25,0.013555263169109821,0.0030532367527484894,0.20535871386528015,0.22200070414692163
7735,3,185,0.6179421190172434,0.20483625926203453,16.76,42.8632,45.400499999999994,48.841899999999995,6.300799999999995,0.0,False,1,25,0.012737803161144257,0.0030569182708859444,0.14408851321786642,0.15990596916526556
7735,4,254,0.8434844370931387,0.11952060030652834,7.95,41.872299999999996,43.144999999999996,48.841899999999995,6.300799999999995,0.0,False,2,25,0.012537975795567036,0.003108687698841095,0.20984572544693947,0.22551607992500067
7735,5,415,1.3601532895117998,0.40479587272410555,67.04,46.4213,47.6939,48.841899999999995,6.300799999999995,0.0,False,3,25,0.012777382507920265,0.003168594092130661,0.500488699413836,0.5166603773832321
7735,6,480,1.5750905694440007,0.41965360687258946,67.75,46.7461,50.9867,50.9867,8.445599999999999,2.1448000000000036,True,0,25,0.013352885842323303,0.0031603146344423294,0.1982662482187152,0.21486135385930538
7735,7,547,1.7965521113947034,0.9986718208214407,1237.0,45.7016,46.7792,50.9867,8.445599999999999,0.0,False,1,25,0.012561661191284657,0.0024437811225652695,0.2061142548918724,0.22115802858024836
7735,8,685,2.2372829103842378,0.4308928616957747,73.93,47.3485,49.8673,50.9867,8.445599999999999,0.0,False,2,25,0.012847617268562317,0.0031107310205698013,0.4247375037521124,0.44071913976222277
7735,9,758,2.477928093634546,0.4539053929817414,80.34,45.837500000000006,47.6365,50.9867,8.445599999999999,0.0,False,3,25,0.01282372884452343,0.0031036296859383583,0.22468489967286587,0.24063371308147907
7735,10,836,2.7336115362122655,0.7939232992649669,287.1,46.786699999999996,48.967,50.9867,8.445599999999999,0.0,False,4,25,0.01345551386475563,0.0031144367530941963,0.2390798730775714,0.25567130744457245
7735,11,890,2.9146989695727825,0.6252026157392061,145.87,47.5716,51.5275,51.5275,8.986400000000003,0.5408000000000044,True,0,25,0.013050207868218422,0.003021134063601494,0.1649205842986703,0.18101947009563446
7735,12,1000,3.267324077896774,0.4266679353218368,67.54,46.5916,49.9533,51.5275,8.986400000000003,0.0,False,1,25,0.012827536091208458,0.003126472234725952,0.336581421084702,0.3525593187659979
7735,13,1080,3.5300871161744,0.7684974654701487,260.85,47.492999999999995,51.121500000000005,51.5275,8.986400000000003,0.0,False,2,25,0.013493936508893967,0.003121195361018181,0.2460988750681281,0.2627356434240937
7735,14,1145,3.7451840518042445,0.7002374726351986,189.35,45.9738,49.955600000000004,51.5275,8.986400000000003,0.0,False,3,25,0.013038375414907932,0.003091258928179741,0.19893446750938892,0.21508590783923864
7735,15,1201,3.9317990271374583,0.14151129489233927,8.75,41.8208,42.9982,51.5275,8.986400000000003,0.0,False,4,25,0.01262474525719881,0.0030839350074529648,0.17087503988295794,0.1866041487082839
7735,16,1285,4.205548167228699,0.831784685678306,343.21,47.5237,50.9718,51.5275,8.986400000000003,0.0,False,5,25,0.013507786206901073,0.0031079156324267387,0.2570972917601466,0.27373654674738646
7735,17,1351,4.424493218772113,0.7332747001147791,221.77,46.0692,48.0685,51.5275,8.986400000000003,0.0,False,6,25,0.013127009384334087,0.0030936021357774734,0.20268614310771227,0.21893181465566158
7735,18,1404,4.602342587895691,0.74510550980244,271.95,45.5763,47.7501,51.5275,8.986400000000003,0.0,False,7,25,0.01322665810585022,0.0030923904851078987,0.1614941507577896,0.1778360502794385
7735,19,1523,4.972037699073553,0.5448567414757037,109.93,47.8357,49.29339999999999,51.5275,8.986400000000003,0.0,False,8,25,0.012903135269880295,0.0030822549015283585,0.3536750664934516,0.3696836521849036
