walking profile, minimum value, maximum value, mean, standard deviation, mean time (s)
average_adult,52.168800000000005,53.2665,52.791118,0.22972264497023626,41.19231082957
elderly,43.094300000000004,44.2213,43.528226000000004,0.2069034418917832,31.096271087039973
athlete,60.0891,61.8532,61.042544,0.35952617143044613,52.48496979573999
