walking profile, minimum value, maximum value, mean, standard deviation, mean time (s)
average_adult,44.647000000000006,48.9434,46.80656,0.8178212256793758,36.46022472543002
elderly,38.667,43.6485,41.225605,1.0301516362221192,29.279912497049988
athlete,49.144099999999995,53.3823,51.37229,0.7911582610580542,45.70771687432
