seed,initial_objective_value,best_objective_value,delta_abs_vs_baseline,delta_pct_vs_baseline,iterations,evaluations,runtime_seconds,accepted_iterations,improvement_iterations,stopping_reason,final_perturbation_strength,seed_dir
6469,55.206999999999994,65.2334,11.2299,20.79476330237855,169,30131,82.38463742379099,25,25,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_006469
6304,55.6259,65.2377,11.234200000000001,20.802725749256993,174,30153,82.3787156380713,26,26,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_006304
6415,55.2398,65.2581,11.254599999999996,20.840501078633782,186,30050,82.37404826609418,27,27,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_006415
9861,55.4713,64.97059999999999,10.967099999999988,20.3081281768774,195,30066,82.25839121011086,30,30,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_009861
733,55.194799999999994,64.7965,10.792999999999992,19.985741664892075,172,30030,82.18138436204754,23,23,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_000733
9836,55.697599999999994,65.2995,11.295999999999992,20.917162776486695,186,30214,82.7773299200926,27,27,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_009836
2885,55.26379999999999,65.33869999999999,11.335199999999986,20.98975066430877,182,30048,82.09733743197285,32,32,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_002885
8469,55.660399999999996,65.4726,11.469099999999997,21.237697556639844,181,30200,82.35563238104805,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_008469
6466,56.3804,64.7407,10.737200000000001,19.882415028655554,117,17887,48.79591242293827,19,19,max_no_improve,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_006466
417,55.2493,65.0198,11.016300000000001,20.39923338302147,174,30069,81.95647480688058,24,24,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_000417
446,55.9985,65.2763,11.272800000000004,20.874202597979767,166,30085,82.13022015988827,26,26,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_000446
9895,55.781099999999995,65.07939999999999,11.07589999999999,20.509596600220338,190,30002,81.95377961918712,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_009895
2937,55.1104,65.0207,11.017200000000003,20.400899941670453,190,30074,82.07149432389997,26,26,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_002937
3462,55.298500000000004,64.94749999999999,10.943999999999988,20.26535317155367,184,30098,82.27592322509736,27,27,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_003462
5173,55.1948,65.5585,11.554999999999993,21.396761321025476,185,30153,82.65429415204562,25,25,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_005173
3589,54.3853,65.0902,11.086699999999993,20.529595304008062,127,20989,57.348387422040105,24,24,max_no_improve,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_003589
1858,55.643,64.9084,10.904899999999998,20.192950456914826,175,30006,81.88827057089657,31,31,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_001858
7558,55.3084,64.37469999999999,10.371199999999988,19.204681178071766,181,30248,82.62020718608983,27,27,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_007558
