seed,iter,eval_count,elapsed_s,current_sum_iqc,best_sum_iqc,delta_vs_baseline,delta_vs_best_prev,accepted,improved,perturbation_strength,no_improve_streak,local_search_accepted_moves,applied_perturbation_moves
7558,0,48,0.0,56.39229999999999,56.39229999999999,2.388799999999989,0.0,True,False,2,0,25,0
7558,1,113,0.30907949595712125,56.9382,56.9382,2.9346999999999994,0.5459000000000103,True,True,2,0,25,2
7558,2,182,0.4968063139822334,57.5219,57.5219,3.5183999999999997,0.5837000000000003,True,True,2,0,25,2
7558,3,291,0.7959028149489313,58.229299999999995,58.229299999999995,4.2257999999999925,0.7073999999999927,True,True,2,0,25,2
7558,4,495,1.3556512219365686,58.895399999999995,58.895399999999995,4.891899999999993,0.6661000000000001,True,True,2,0,25,2
7558,5,663,1.8140946179628372,59.651399999999995,59.651399999999995,5.647899999999993,0.7560000000000002,True,True,2,0,25,2
7558,6,801,2.193938255077228,60.761300000000006,60.761300000000006,6.757800000000003,1.1099000000000103,True,True,2,0,25,2
7558,7,1004,2.748183127027005,61.6584,61.6584,7.654899999999998,0.8970999999999947,True,True,2,0,25,2
7558,8,1273,3.4803185360506177,62.466100000000004,62.466100000000004,8.462600000000002,0.8077000000000041,True,True,2,0,25,2
7558,9,1504,4.112594689009711,62.7778,62.7778,8.774299999999997,0.31169999999999476,True,True,2,0,9,2
7558,10,1659,4.538775963941589,62.8059,62.8059,8.802399999999999,0.028100000000002012,True,True,2,0,5,2
7558,11,2065,5.644374343100935,63.1154,63.1154,9.111899999999999,0.3094999999999999,True,True,2,0,20,2
7558,12,2348,6.417822004063055,63.1154,63.1154,9.111899999999999,0.0,False,False,2,1,8,2
7558,13,2473,6.7593761389143765,63.1154,63.1154,9.111899999999999,0.0,False,False,2,2,4,2
7558,14,2629,7.186557298991829,63.1154,63.1154,9.111899999999999,0.0,False,False,2,3,6,2
7558,15,2784,7.608720475109294,63.1154,63.1154,9.111899999999999,0.0,False,False,2,4,6,2
7558,16,3002,8.205624718917534,63.36209999999999,63.36209999999999,9.358599999999988,0.24669999999998993,True,True,2,0,7,2
7558,17,3381,9.243466032901779,63.462599999999995,63.462599999999995,9.459099999999992,0.10050000000000381,True,True,2,0,25,2
7558,18,3526,9.638703722972423,63.462599999999995,63.462599999999995,9.459099999999992,0.0,False,False,2,1,8,2
7558,19,3976,10.86931595299393,63.462599999999995,63.462599999999995,9.459099999999992,0.0,False,False,2,2,22,2
7558,20,4122,11.265814352082089,63.493700000000004,63.493700000000004,9.490200000000002,0.03110000000000923,True,True,2,0,5,2
7558,21,4252,11.62193471705541,63.499900000000004,63.499900000000004,9.496400000000001,0.006199999999999761,True,True,2,0,2,2
7558,22,4367,11.936052073026076,63.499900000000004,63.499900000000004,9.496400000000001,0.0,False,False,2,1,2,2
7558,23,4449,12.160258885938674,63.499900000000004,63.499900000000004,9.496400000000001,0.0,False,False,2,2,3,2
7558,24,4712,12.879277104977518,63.499900000000004,63.499900000000004,9.496400000000001,0.0,False,False,2,3,13,2
7558,25,4877,13.330561141017824,63.499900000000004,63.499900000000004,9.496400000000001,0.0,False,False,2,4,2,2
7558,26,5093,13.921310290927067,63.499900000000004,63.499900000000004,9.496400000000001,0.0,False,False,2,5,8,2
7558,27,5274,14.416286549065262,63.499900000000004,63.499900000000004,9.496400000000001,0.0,False,False,2,6,5,2
7558,28,5339,14.593738039955497,63.499900000000004,63.499900000000004,9.496400000000001,0.0,False,False,2,7,0,2
7558,29,5517,15.080998970894143,63.499900000000004,63.499900000000004,9.496400000000001,0.0,False,False,2,8,5,2
7558,30,5625,15.376791685121134,63.499900000000004,63.499900000000004,9.496400000000001,0.0,False,False,2,9,3,2
7558,31,5842,15.969529066001996,63.499900000000004,63.499900000000004,9.496400000000001,0.0,False,False,2,10,16,2
7558,32,6067,16.5852038259618,63.5731,63.5731,9.569599999999994,0.07319999999999283,True,True,2,0,6,2
7558,33,6275,17.150536387925968,63.5731,63.5731,9.569599999999994,0.0,False,False,2,1,10,2
7558,34,6544,17.886383231030777,63.605399999999996,63.605399999999996,9.601899999999993,0.03229999999999933,True,True,2,0,11,2
7558,35,6906,18.87556429905817,63.7108,63.7108,9.707299999999996,0.10540000000000305,True,True,2,0,14,2
7558,36,7039,19.237654658965766,63.7108,63.7108,9.707299999999996,0.0,False,False,2,1,6,2
7558,37,7309,19.97351683792658,63.7108,63.7108,9.707299999999996,0.0,False,False,2,2,12,2
7558,38,7378,20.161106327082962,63.7108,63.7108,9.707299999999996,0.0,False,False,2,3,1,2
7558,39,7469,20.409597737016156,63.7108,63.7108,9.707299999999996,0.0,False,False,2,4,3,2
7558,40,7631,20.85071988403797,63.7108,63.7108,9.707299999999996,0.0,False,False,2,5,7,2
7558,41,7743,21.156629744917154,63.7108,63.7108,9.707299999999996,0.0,False,False,2,6,2,2
7558,42,7881,21.532656328985468,63.7108,63.7108,9.707299999999996,0.0,False,False,2,7,2,2
7558,43,8072,22.054168597096577,63.7108,63.7108,9.707299999999996,0.0,False,False,2,8,11,2
7558,44,8205,22.41688273497857,63.7108,63.7108,9.707299999999996,0.0,False,False,2,9,3,2
7558,45,8627,23.569896480068564,63.9392,63.9392,9.935699999999997,0.2284000000000006,True,True,2,0,20,2
7558,46,8845,24.166111848084256,63.9392,63.9392,9.935699999999997,0.0,False,False,2,1,9,2
7558,47,8925,24.385074350051582,63.9392,63.9392,9.935699999999997,0.0,False,False,2,2,3,2
7558,48,9031,24.674968481995165,63.9392,63.9392,9.935699999999997,0.0,False,False,2,3,1,2
7558,49,9225,25.205206258920953,63.9392,63.9392,9.935699999999997,0.0,False,False,2,4,8,2
7558,50,9693,26.48453034600243,63.9392,63.9392,9.935699999999997,0.0,False,False,2,5,13,2
7558,51,9861,26.94498734595254,63.9392,63.9392,9.935699999999997,0.0,False,False,2,6,4,2
7558,52,10238,27.975205550901592,63.9583,63.9583,9.954799999999999,0.01910000000000167,True,True,2,0,10,2
7558,53,10371,28.3373866439797,63.9583,63.9583,9.954799999999999,0.0,False,False,2,1,5,2
7558,54,10577,28.901705723023042,64.03659999999999,64.03659999999999,10.03309999999999,0.0782999999999916,True,True,2,0,3,2
7558,55,10671,29.159190407954156,64.03659999999999,64.03659999999999,10.03309999999999,0.0,False,False,2,1,2,2
7558,56,10867,29.694522711914033,64.1655,64.1655,10.161999999999992,0.12890000000000157,True,True,2,0,4,2
7558,57,10932,29.87167247501202,64.1655,64.1655,10.161999999999992,0.0,False,False,2,1,0,2
7558,58,11120,30.384908282896504,64.1655,64.1655,10.161999999999992,0.0,False,False,2,2,4,2
7558,59,11280,30.820127932121977,64.1655,64.1655,10.161999999999992,0.0,False,False,2,3,6,2
7558,60,11345,30.997840479016304,64.1655,64.1655,10.161999999999992,0.0,False,False,2,4,0,2
7558,61,11490,31.39225105405785,64.1655,64.1655,10.161999999999992,0.0,False,False,2,5,4,2
7558,62,11893,32.49244352802634,64.1655,64.1655,10.161999999999992,0.0,False,False,2,6,12,2
