seed,initial_objective_value,best_objective_value,delta_abs_vs_baseline,delta_pct_vs_baseline,iterations,evaluations,runtime_seconds,improvement_iterations,stopping_reason,best_alpha,mean_rcl_size,construction_best_objective_value,seed_dir,profile_total_runtime_s,profile_construction_total_s,profile_candidate_eval_total_s,profile_local_search_total_s,profile_evaluation_total_s,profile_evaluation_calls,profile_evaluation_avg_s,profile_local_search_calls
182,64.74109999999999,65.0368,2.0904000000000025,3.3209206563044154,127,7780,27.24570015538484,3,max_no_improve,0.38534853941751024,355.34212598425194,64.2348,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/milao_italia/athlete/dataset_hex183_impacts7119/run_20260704_232538_budget100_seeds100/seed_runs/seed_000182,27.24570015538484,1.348035273142159,0.41775897052139044,25.471682955510914,25.00193728879094,7780,0.003213616618096522,127
57,64.1513,65.137,2.1906000000000034,3.480103707281121,110,6878,23.508392709307373,5,max_no_improve,0.32199999256257217,326.5038181818182,64.2927,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/milao_italia/athlete/dataset_hex183_impacts7119/run_20260704_232538_budget100_seeds100/seed_runs/seed_000057,23.508392709307373,1.1240944219753146,0.35012135840952396,22.027496592141688,21.616430895403028,6878,0.0031428367105849125,110
7217,64.17229999999999,64.7805,1.8341000000000065,2.913748840283172,87,5232,18.555695917457342,3,max_no_improve,0.4778892795752093,317.23540229885054,64.12809999999999,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/milao_italia/athlete/dataset_hex183_impacts7119/run_20260704_232538_budget100_seeds100/seed_runs/seed_007217,18.555695917457342,1.0590406078845263,0.2829096280038357,17.20735069923103,16.845438923686743,5232,0.0032196939838850806,87
395,63.293600000000005,64.87360000000001,1.9272000000000133,3.0616524535160288,97,6083,20.81324176955968,5,max_no_improve,0.5383890839770756,394.6124742268042,64.36690000000002,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/milao_italia/athlete/dataset_hex183_impacts7119/run_20260704_232538_budget100_seeds100/seed_runs/seed_000395,20.81324176955968,1.003294155932963,0.3107550162822008,19.493122016079724,19.127123579382896,6083,0.0031443569915145316,97
2949,63.5447,64.9955,2.04910000000001,3.255309279005646,105,6373,22.241600218228996,5,max_no_improve,0.3548262004300493,362.5724761904762,64.2628,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/milao_italia/athlete/dataset_hex183_impacts7119/run_20260704_232538_budget100_seeds100/seed_runs/seed_002949,22.241600218228996,1.1054098578169942,0.34432562813162804,20.78479883261025,20.383795936591923,6373,0.003198461625073266,105
2177,64.0627,65.05290000000001,2.106500000000011,3.3464979728785305,146,9224,31.451617730781436,6,max_no_improve,0.5399244884922313,362.1669863013699,64.2954,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/milao_italia/athlete/dataset_hex183_impacts7119/run_20260704_232538_budget100_seeds100/seed_runs/seed_002177,31.451617730781436,1.5037267003208399,0.46443542931228876,29.47555574774742,28.924300460144877,9224,0.0031357654445083346,146
4854,63.960499999999996,65.1559,2.2095000000000056,3.5101292528246346,278,16856,64.73544326424599,8,max_no_improve,0.5081331969581683,363.278273381295,64.3392,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/milao_italia/athlete/dataset_hex183_impacts7119/run_20260704_232538_budget100_seeds100/seed_runs/seed_004854,64.73544326424599,3.401264103129506,1.0067562777549028,60.31149061862379,59.31233927421272,16856,0.003518767161498144,278
1356,64.62639999999999,65.0324,2.0859999999999985,3.3139305822096237,146,9237,33.82533512171358,5,max_no_improve,0.16343279123563648,360.680205479452,64.4026,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/milao_italia/athlete/dataset_hex183_impacts7119/run_20260704_232538_budget100_seeds100/seed_runs/seed_001356,33.82533512171358,1.6460223412141204,0.5063291927799582,31.663962344639003,31.095082034356892,9237,0.0033663615929800683,146
3557,64.3964,64.8554,1.909000000000006,3.0327389652148593,203,13121,49.72458619810641,9,max_no_improve,0.514256447300697,313.514236453202,64.2152,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/milao_italia/athlete/dataset_hex183_impacts7119/run_20260704_232538_budget100_seeds100/seed_runs/seed_003557,49.72458619810641,2.3626852482557297,0.7252479530870914,46.62491394765675,45.8111281786114,13121,0.0034914357273539668,203
3801,64.0486,65.0095,2.0631000000000057,3.277550423852684,113,7107,24.754365700297058,6,max_no_improve,0.4288300873955385,361.8331858407079,64.2546,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/milao_italia/athlete/dataset_hex183_impacts7119/run_20260704_232538_budget100_seeds100/seed_runs/seed_003801,24.754365700297058,1.1925066467374563,0.3685555597767234,23.18533387221396,22.740174300037324,7107,0.0031996868298912796,113
