seed,iter,eval_count,elapsed_s,current_sum_iqc,best_sum_iqc,delta_vs_baseline,delta_vs_best_prev,accepted,improved,perturbation_strength,no_improve_streak,local_search_accepted_moves,applied_perturbation_moves,t_initial_eval_s,t_initial_local_search_s,t_perturb_s,t_candidate_eval_s,t_local_search_s,t_acceptance_s,t_bookkeeping_s,t_logging_s,t_iter_total_s
1561,0,57,0.0,40.086600000000004,40.086600000000004,1.4074000000000098,0.0,True,False,2,0,25,0,0.0012898368295282125,0.07511509000323713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561,1,118,0.15909696300514042,40.4105,40.4105,1.7313000000000045,0.32389999999999475,True,True,2,0,25,4,0.0,0.0,0.0004628158640116453,0.0012480118311941624,0.08055033790878952,5.7800207287073135e-06,7.858965545892715e-06,3.369408659636974e-05,0.0823226529173553
1561,2,219,0.29466199316084385,40.681200000000004,40.681200000000004,2.0020000000000095,0.27070000000000505,True,True,2,0,25,4,0.0,0.0,0.00041642598807811737,0.0012259487994015217,0.13385910005308688,6.024958565831184e-06,7.605878636240959e-06,3.184005618095398e-05,0.13556144502945244
1561,3,289,0.3887916530948132,40.9563,40.9563,2.2771000000000043,0.2750999999999948,True,True,2,0,25,4,0.0,0.0,0.0004182548727840185,0.001221132930368185,0.09242946514859796,5.746958777308464e-06,7.4980780482292175e-06,3.1606992706656456e-05,0.09412799612618983
1561,4,390,0.5245388119947165,41.0585,41.0585,2.3793000000000077,0.1022000000000034,True,True,2,0,25,4,0.0,0.0,0.0004261650610715151,0.0012262130621820688,0.1340340890455991,5.910871550440788e-06,7.641036063432693e-06,3.234087489545345e-05,0.13574676495045424
1561,5,497,0.668387311976403,41.0924,41.0924,2.4132000000000033,0.0338999999999956,True,True,2,0,25,4,0.0,0.0,0.00042519415728747845,0.0012301960960030556,0.142132073873654,5.808193236589432e-06,7.479917258024216e-06,3.140978515148163e-05,0.14384614187292755
1561,6,750,1.0079110991209745,41.1334,41.1334,2.4542000000000073,0.04100000000000392,True,True,2,0,25,4,0.0,0.0,0.00041565997526049614,0.0012840568087995052,0.3377635919023305,5.800044164061546e-06,7.458031177520752e-06,3.130408003926277e-05,0.3395224579144269
1561,7,879,1.1816386911086738,41.2297,41.2297,2.5505000000000067,0.09629999999999939,True,True,2,0,25,4,0.0,0.0,0.0004145610146224499,0.001230444060638547,0.17202170798555017,6.130896508693695e-06,7.601920515298843e-06,3.337999805808067e-05,0.1737284471746534
1561,8,1176,1.583740970119834,41.3667,41.3667,2.687500000000007,0.13700000000000045,True,True,2,0,25,4,0.0,0.0,0.000414922134950757,0.0012240810319781303,0.4003983091097325,7.562106475234032e-06,9.391922503709793e-06,4.8530055209994316e-05,0.4021191180218011
1561,9,1414,1.9053162531927228,41.4503,41.4503,2.771100000000004,0.08359999999999701,True,True,2,0,25,4,0.0,0.0,0.0004221610724925995,0.0012834188528358936,0.319785269908607,6.980029866099358e-06,8.85804183781147e-06,4.6245986595749855e-05,0.32157053309492767
1561,10,1772,2.3856932970229536,41.5471,41.5471,2.867900000000006,0.09680000000000177,True,True,2,0,25,4,0.0,0.0,0.0005064019933342934,0.0012383288703858852,0.4785522259771824,6.6731590777635574e-06,8.00006091594696e-06,3.64410225301981e-05,0.4803641000762582
1561,11,1996,2.6870525190606713,41.6077,41.6077,2.9285000000000068,0.060600000000000875,True,True,2,0,13,4,0.0,0.0,0.0004130380693823099,0.001224831910803914,0.2996547680813819,5.975132808089256e-06,7.702037692070007e-06,3.420421853661537e-05,0.30135519010946155
